Reporting Period	Peer Group Description	Peer Group	UBPSE885	UBPSFB80	UBPSFB82	UBPSE880	UBPSE892	UBPSE886	UBPSE658	UBPSE883	UBPSE889	UBPSE891	UBPSFB78	UBPSD647	UBPSE894	UBPSE884	UBPSFB81	UBPSE392	UBPSE895	UBPSE881	UBPSD490	UBPSE893	UBPSD649	UBPSE882	UBPSFB83	UBPSD646	UBPSE663	UBPSD650	UBPSE887	UBPSE657	UBPSE888	UBPSE890	UBPSE632	UBPSFB79	UBPSD648	
			LN_FIN_CYA_TC	RTO RE LN IN FO CPT	RTO LS IND CPT	LN_RE_FARM_TC	LN_DOM_CYA_TC	LN_FARM_CYA_TC	LN_RE_LNLS_CYA_TC	LN_NFRM_OWNROCC_TC	LN_CRCD_CYA_TC	LN_OFC_FGN_TC	RTO 1-4 FAM 1ST LIEN LN CPT	CRE_NONOWN_TC	LN_GOVT_FGN_TC	RE_TOT_CYA_TC	RTO AUTO LN CPT	LN_NFRM_NRES_TC	LN_CML_RE_TC	LN_FAM_MULT_TC	LN_CNSTRC_CYA_TC	LS_DOM_RCV_TC	CRE_TOT_TC	LN_NFARM_LNLS_TC	RTO OTHR LS CPT	CONST_RE_TLN	LN_HE_CYA_TC	CRE_TOT_TLN	LN_CMID_CYA_TC	LN_OTH_CNSTRC_TC	LN_DOM_IND_TC	LN_SCM_DOM_TC	LN_1T4_CNSTRC_TC	RTO 1-4 FAM JR LIEN LN CPT	CRE_NONOWN_TLN	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	0.0000	0.0000	0.0000	7.2174	0.0000	0.0000	2.0224	21.6880	0.0000	0.0000	1.3333	337.3878	0.0000	368.3157	0.0000	254.7477	0.0000	65.6451	16.9949	0.0000	359.0758	276.4357	0.0000	3.9152	0.6890	82.7234	65.9389	16.9949	0.0000	0.0000	0.0000	0.0000	77.7270	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	0.9142	0.0000	0.0000	33.6998	43.6790	56.2640	7.1099	29.6698	0.4613	0.0000	7.1099	234.4308	0.0000	304.9105	0.0000	148.0460	0.0000	0.0000	86.3847	7.1731	264.1007	177.7159	0.0000	18.0182	0.0000	55.0863	66.0283	82.2052	0.4613	0.0000	4.1795	0.0000	48.8977	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	0.0000	0.0000	0.0000	18.6052	63.6985	7.0283	24.1391	45.3514	72.5193	0.0000	24.1391	128.3496	0.0000	216.4454	0.0000	72.4575	0.0000	23.0920	32.8000	10.2643	173.7010	117.8089	0.0000	6.9901	0.0000	37.0181	89.7320	28.2841	72.5702	9.4935	4.5158	0.0000	27.3531	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	0.0000	0.0000	0.0000	9.5633	39.0472	0.0000	17.7867	31.4476	0.0000	0.0000	17.5740	90.4083	0.0000	149.2060	0.0000	45.0375	0.0000	19.0698	26.3008	0.0000	121.8559	76.4851	0.0000	11.6300	0.2126	53.8840	21.7708	26.3008	0.0000	16.1207	0.0000	0.0000	39.9780	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	0.0000	0.0000	0.0000	2.0046	82.7228	2.6693	9.3269	34.8306	0.0000	0.0000	9.1104	245.8086	0.0000	291.9710	0.0000	133.2509	0.0000	35.2454	77.3122	0.0000	280.6393	168.0816	0.0000	18.9079	0.0000	68.6350	30.6040	71.7190	0.0000	0.9191	5.5931	0.2165	60.1166	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	0.0000	0.0000	0.0000	0.0000	0.0000	41.5127	165.7651	105.8267	0.0000	0.0000	165.7651	413.7862	0.0000	685.3781	0.0000	347.4714	0.0000	40.2814	26.0334	0.0000	519.6130	453.2981	0.0000	3.0585	0.0000	61.0472	65.5672	26.0334	58.7071	0.0000	0.0000	0.0000	48.6140	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	0.1422	0.0000	0.0000	15.7867	143.3264	2.7856	11.9296	66.7380	0.0000	0.0000	7.8708	268.6820	0.0000	363.1366	0.0076	143.2505	0.0000	62.6984	62.7330	0.0000	335.4201	209.9886	0.0000	10.5302	4.0588	56.3030	80.2686	60.8169	5.9903	0.0903	1.9160	0.0000	45.1005	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	0.0000	0.0000	0.0000	11.3272	214.9679	4.2922	17.6008	15.7316	0.0000	0.0000	17.6008	61.3064	0.0000	105.9661	0.0000	39.3109	0.0000	13.7161	8.2794	0.0000	77.0381	55.0425	0.0000	2.4124	0.0000	22.4468	16.8004	7.8353	0.0000	1.1761	0.4441	0.0000	17.8630	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	0.0000	0.0000	0.0000	8.9604	85.5846	32.7319	11.3608	72.4064	2.6324	0.0000	10.0498	192.7857	0.0000	285.5134	0.1160	128.8333	0.0000	38.4426	25.5097	0.0000	265.1921	201.2397	0.0000	5.7174	0.0000	59.4369	39.4001	24.7289	2.9437	0.0000	0.7807	1.3109	43.2086	
