Reporting Period	Peer Group Description	Peer Group	UBPSE393	UBPSFB72	UBPSE435	UBPSE444	UBPSE428	UBPSD638	UBPSE418	UBPSE438	UBPSE441	UBPSE429	UBPSE423	UBPSE419	UBPSE432	UBPSE422	UBPSE416	UBPSE447	UBPSFB77	UBPSE417	UBPSE424	UBPSE448	UBPSE437	UBPSFB76	UBPSE442	UBPSE431	UBPSE414	UBPSFB75	UBPSE394	UBPSE445	UBPSE434	UBPSE425	UBPSE415	UBPSFB71	UBPSE430	UBPSE439	UBPSFB74	UBPSE446	UBPSE420	UBPSE433	UBPSE389	UBPSE426	UBPSE440	UBPSE421	UBPSE436	UBPSE396	UBPSE443	
			LN_1T4_CNSTRC_LNLS	LOAN MIX 1-4 FAM JR LIEN LN	LN_OFCR_SHLDR_ASET	RE_OTH_TOT_AVG_AA	LN_OFC_FGN_LNLS	RE_GNMA_FORCL_AA	LN_FAM_MULT_LNLS	RE_FAM_AVG_AA	RE_OFC_FGN_AA	LN_DOM_CYA_LNLS	LN_CMID_CYA_LNLS	LN_NFARM_LNLS	LN_CML_RE_LNLS	LN_FARM_CYA_LNLS	LN_HE_CYA_GRS	SRVC_OTH_NREC_TA	LOAN MIX OTHR LS	LN_RE_FARM_LNLS	LN_DOM_IND_LNLS	SRVC_1T4OTH_TA	RE_FMLD_ASET_A	LOAN MIX LS IND	RE_OTH_AA	LN_GOVT_FGN_LNLS	LN_CNSTRC_CYA_LNLS	LOAN MIX AUTO LN	LN_OTH_CNSTRC_LNLS	SRVC_1T4FAM_REC_TA	LN_OFCR_SHLDR_QAL	LN_CRCD_CYA_LNLS	LN_RE_LNLS_CYA_GRS	LOAN MIX 1-4 FAM 1ST LIEN LN	LS_DOM_RCV_LNLS	RE_FAM_MULT_AA	LOAN MIX RE LN IN FO	SRVC_1T4FAM_NRC_TA	RE_TOT_CYA_LNLS	CMT_EXTD_CR_QAL	LN_NFRM_NRES_LNLS	LN_SCM_DOM_LNLS	RE_NFARM_NRSD_AA	LN_FIN_CYA_LNLS	RE_CSTRC_DV_A	LN_NFRM_OWNROCC_LN	RE_OTH_INV_AA	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	0.3156	0.0000	0.0000	0.0000	0.0000	0.0000	14.4516	0.0000	0.0000	0.0000	14.2719	64.6762	0.0000	0.0000	0.1615	0.0000	0.0000	1.6918	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.4327	0.0000	4.1170	0.0000	0.0000	0.0000	0.4755	0.3140	0.0000	0.0000	0.0000	0.0000	85.7280	7.1251	59.6455	0.0000	0.0000	0.0000	0.0000	5.0306	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	0.8490	0.0000	0.5991	0.1272	0.0000	0.0000	0.0000	0.0000	0.0000	9.2651	12.7694	37.6657	0.0000	12.8568	0.0000	0.0000	0.0000	6.9236	0.0973	0.0000	0.0000	0.0000	0.1272	0.0000	17.0751	0.0000	16.2260	0.0000	1.0663	0.0973	1.4750	1.4750	1.5998	0.0000	0.0000	0.0000	63.1395	54.4992	31.7225	0.0000	0.0000	0.2716	0.1272	5.9432	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	0.8854	0.0000	0.0454	0.3032	0.0000	0.0000	4.4880	0.0000	0.0000	15.2309	17.1681	24.7730	0.0000	1.5611	0.0000	0.0000	0.0000	4.5231	16.1880	0.0000	0.0000	0.0000	0.3032	0.0000	6.8171	0.0000	5.9317	0.0000	0.0650	16.1767	4.9707	4.9707	2.2349	0.3032	0.0000	0.0000	45.5722	110.2704	16.0973	2.0445	0.0000	0.0000	0.0000	8.6757	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	0.0000	0.0000	2.0062	0.0000	0.0000	0.0000	8.8568	0.0000	0.0000	15.4503	8.9371	35.2112	0.0000	0.0000	0.1146	0.0000	0.0000	4.4186	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.2872	0.0000	11.2872	0.0000	7.3846	0.0000	8.3147	8.2001	0.0000	0.0000	0.0000	0.0000	68.0887	38.2401	20.4323	7.5237	0.0000	0.0000	0.0000	14.7789	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	1.2463	0.0529	0.0896	0.0000	0.0000	0.0000	8.6569	0.0000	0.0000	21.1485	7.6127	40.8815	0.0000	0.5817	0.0000	0.0000	0.0000	0.5040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.1679	0.0000	16.9216	0.0000	0.1418	0.0000	2.2583	2.2053	0.0000	0.0000	0.0000	0.0000	70.4687	28.0451	32.8109	0.1880	0.0000	0.0000	0.0000	8.0706	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	0.0000	0.0000	0.0000	0.2197	0.0000	0.0000	4.5944	0.0000	0.0000	0.0000	8.3386	52.5063	0.0000	4.7392	0.0000	0.0000	0.0000	0.0000	6.7018	0.0000	0.0000	0.0000	0.2197	0.0000	3.6393	0.0000	3.6393	0.0000	0.0000	0.0000	19.4801	19.4801	0.0000	0.0000	0.0000	0.0000	80.2202	5.0840	39.7917	0.0000	0.0000	0.0000	0.2197	12.7145	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	0.3033	0.0246	0.3081	0.0922	0.0000	0.0000	10.4366	0.0000	0.0000	24.7798	13.7810	35.4210	0.0000	0.4999	0.3869	30.3623	0.0000	2.6754	0.9418	30.3623	0.0000	0.0000	0.0922	0.0000	9.6787	0.0013	9.3754	0.0000	0.4038	0.0000	1.6853	1.2737	0.0000	0.0000	0.0000	0.0000	59.8972	39.2715	24.1567	0.0152	0.0000	0.0847	0.0922	11.2643	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	0.0889	0.0310	3.2925	0.2049	0.0000	0.0000	3.9430	0.0086	0.0000	62.1602	4.5461	16.9179	0.0000	1.5578	0.0000	0.0000	0.0000	3.1107	0.0000	30.1280	0.0000	0.0000	0.2049	0.0000	2.2205	0.0000	2.1316	0.0000	6.5045	0.0000	5.2071	5.1761	0.0000	0.0000	0.0000	0.0000	31.3994	51.2255	12.8999	0.3362	0.0000	0.0000	0.1963	4.0180	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	0.1972	0.2827	0.3139	0.0000	0.0000	0.0000	9.4197	0.0000	0.0000	18.8415	8.7043	44.6381	0.0000	8.2745	0.0000	0.0000	0.0000	1.9675	0.6460	13.0344	0.0000	0.0000	0.0000	0.0000	5.2512	0.0255	5.0540	0.0000	0.5072	0.5777	2.2568	1.9740	0.0000	0.0000	0.0000	0.0000	63.5335	38.1921	27.8607	0.0000	0.0000	0.0000	0.0000	16.7774	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Pennsylvania	PABKR	1.2256	0.0000	0.0994	0.0000	0.0000	0.0000	11.6708	0.0000	0.0000	12.1564	2.9390	59.3399	0.0000	0.0000	0.1247	0.0000	0.0000	1.8768	0.0024	0.0000	0.0000	0.0000	0.0000	0.0000	5.4964	0.0000	4.2707	0.0000	0.2593	0.0000	3.7368	3.6121	0.0000	0.0000	0.0000	0.0000	82.1209	28.2473	44.0235	1.5406	0.0000	1.2403	0.0000	15.3163	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Texas	TXBKR	0.8173	0.0028	0.5867	0.0025	0.0000	0.0000	2.0153	0.0000	0.0000	26.1796	9.6916	14.4889	0.0000	0.0160	0.0000	4.7282	0.0000	0.7752	8.1645	78.0687	0.0025	0.0000	0.0025	0.0000	5.9782	0.0000	5.1609	0.0479	1.4360	8.0739	3.2104	3.2075	0.0000	0.0000	0.0000	73.2925	26.4683	114.0918	11.2778	29.3817	0.0000	0.0980	0.0000	3.2111	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Virginia	VABKR	4.5031	0.2657	0.0000	0.0000	0.0000	0.0000	3.2559	0.0000	0.0000	12.3643	9.0030	50.1862	0.0000	0.0000	1.3958	0.0000	0.0000	1.7430	0.6905	0.0000	0.0000	0.0000	0.0000	0.0000	16.3586	0.0000	11.8555	0.0000	0.0000	0.0000	6.3981	4.7365	0.0000	0.0000	0.0000	0.0000	77.9420	36.4801	33.7072	0.0000	0.0000	0.0000	0.0000	16.4789	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Wisconsin	WIBKR	0.0000	0.0000	1.9849	0.2849	0.0000	0.0000	5.4274	0.0000	0.0000	25.1331	2.6675	28.1527	0.0000	0.6134	0.0000	0.0000	0.0000	1.0400	1.2509	71.3810	0.0000	0.0000	0.2849	0.0000	14.2309	0.0000	14.2309	0.0000	5.2610	1.2509	4.3656	4.3656	16.9766	0.0000	0.0000	0.0000	53.2168	84.2181	20.1506	0.1413	0.2849	0.0000	0.0000	8.0021	0.0000	
3/31/2018 11:59:59 PM	All banks in nation 	NATIONAL	1.7617	0.6420	0.8287	0.1286	0.0488	0.0002	2.5076	0.0213	0.0000	0.1969	11.6791	23.5309	0.0662	5.1206	1.9928	0.5927	0.1488	6.9270	4.1775	4.3903	0.0000	0.0205	0.1178	0.0102	5.0080	1.4530	3.0152	0.0917	1.3390	0.0277	28.8197	25.3108	0.0549	0.0058	0.2178	3.9076	74.0113	16.0827	10.9984	0.4995	0.0292	0.1043	0.0227	10.6159	0.0126	
