Reporting Period	Peer Group Description	Peer Group	UBPSE105	UBPSE094	UBPSE089	UBPSE090	UBPSF897	UBPSE113	UBPSE114	UBPSE085	UBPSE111	UBPSE104	UBPSF899	UBPSE088	UBPSE097	UBPSE092	UBPS7400	UBPSE100	UBPSE098	UBPSHR55	UBPSE106	UBPSE107	UBPSE095	UBPSE005	UBPSE091	UBPSE101	UBPSE112	UBPSHR56	UBPSE087	UBPSE103	UBPSE096	UBPSE108	UBPSE102	UBPSE115	UBPSE084	UBPSE093	UBPSE109	UBPSE099	UBPSHN99	
			FFS_YLD	LN_CI_YLD	SLRY_ANN_AVG_EMP	ASET_EMP	LN_RE_1T4_YLD	OTH_BRWD_YLD	SUBNTD_YLD	EXP_NONINT_OTH_AA	DEP_IB_FGN_YLD	BAL_IB_YLD	LN_RE_OTH_YLD	INC_EFFCY_RTO	LN_AG_YLD	LN_DOM_YLD	SALARY EXPENSE AS PERCENT OF AVG ASS	INC_SEC_SEC_INV	LNLS_FGN_YLD	COST OF TIME DEP	DEP_TOT_YLD	TRAN_ACCT_YLD	LN_IND_DOM_YLD	OVHD_EXP_AA	LNLS_TE_YLD	SEC_US_NMBS_YLD	FFP_YLD	COST OF TIME DEP GT $250M	OVHD_LES_NINTINC_A	SEC_ALLOTH_YLD	LN_CRCD_DOM_YLD	NTRAN_OSD_YLD	SEC_MBS_YLD	INT_EXP_TOT_YLD	EXP_NET_OCPY_AA	LN_RE_DOM_YLD	CD_GT100_YLD	SEC_INV_YLD	OTH INT EXP YLD	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	2.1735	4.8416	196.0416	8.1932	3.3505	1.3200	0.0000	1.0081	0.0000	1.7072	4.5011	77.5612	0.0000	4.4679	2.3037	2.2346	0.0000	1.3595	1.5736	1.4435	0.0000	3.4695	4.4679	0.0000	1.4391	1.4976	1.1388	0.0000	0.0000	1.6575	2.2346	1.5248	0.1576	4.4945	0.0000	2.2346	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	2.0170	4.5560	115.4166	8.3451	4.6222	0.0000	0.0000	2.5310	0.0000	1.5451	5.2460	75.9985	5.0771	5.1272	1.4438	2.0305	0.0000	1.5604	1.5604	0.0000	0.0000	4.2448	5.1323	1.5934	1.3319	0.0000	1.5897	2.1383	1.6877	0.0000	2.2053	1.5164	0.2699	5.2314	0.0000	2.0305	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	1.7991	3.7981	89.1428	3.5887	4.3506	0.0000	0.0000	2.6893	0.0000	0.0967	4.8348	71.6031	0.0000	5.1132	2.4072	1.7150	0.0000	1.7169	1.1946	0.0000	0.0000	5.2993	5.1345	1.7186	0.0000	0.0000	1.0140	0.0000	7.8081	0.5786	0.0000	1.2344	0.2028	4.7828	0.0000	1.7150	2.6666	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	0.0000	5.3118	74.3636	5.1451	4.5669	0.0000	0.0000	0.5306	0.0000	1.3121	4.7387	81.3355	0.0000	4.7084	1.2843	1.6177	0.0000	0.0000	1.2017	1.2017	0.0000	2.1007	4.7672	1.6177	1.8151	0.0000	0.7316	0.0000	0.0000	0.0000	0.0000	1.3554	0.2857	4.7178	0.0000	1.6177	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	1.8256	6.0116	158.5121	5.9128	4.4251	3.2484	0.0000	0.9369	0.0000	0.6603	4.7924	91.0404	5.0143	4.6012	2.7403	2.0635	0.0000	1.8292	1.8292	0.0000	0.0000	3.9964	4.6012	1.7641	1.5099	1.4545	2.3469	2.8423	0.0000	0.0000	1.9885	1.5876	0.3191	4.7801	0.0000	2.1648	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	0.0000	5.6475	123.5555	7.3518	4.0978	1.2000	0.0000	1.6111	0.0000	1.5919	4.3831	181.4102	0.0000	4.3043	1.6966	2.2489	0.0000	1.6202	1.6202	0.0000	5.3932	3.4542	4.3043	0.0000	1.5317	1.4381	3.4359	5.7142	0.0000	0.0000	2.1040	1.5977	0.1464	4.2964	0.0000	2.2489	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	1.9771	4.8425	118.6880	6.4722	4.7867	1.3394	0.0000	1.5182	0.0000	0.8003	4.3452	76.1930	5.6129	4.4289	1.6925	1.8099	0.0000	1.4952	1.4952	0.0000	6.4657	3.6347	4.4610	1.9184	1.4270	0.0000	1.7988	1.3333	0.0000	0.0000	0.7024	1.4805	0.4239	4.3559	0.0000	1.8115	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	1.9577	4.1826	96.0000	7.7305	4.7960	0.0000	0.0000	2.0989	0.0000	0.7729	4.6252	74.8849	0.0000	4.3699	1.2228	2.3203	0.0000	1.5653	1.5638	0.0000	0.0000	3.4958	4.3767	2.1758	1.6832	1.3953	1.5908	2.5248	0.0000	0.0000	2.2336	1.6004	0.1740	4.6529	0.0000	2.3203	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	2.2158	4.4594	105.8787	4.2280	5.5009	0.0000	0.0000	2.3163	0.0000	1.7122	4.9458	87.3111	5.2855	4.8960	2.3944	1.4554	0.0000	1.6215	1.6215	0.0000	6.6666	5.1494	4.8960	1.3315	1.6100	0.0000	1.8873	0.0000	10.9820	0.0000	2.7210	2.9461	0.4385	4.9667	0.0000	1.4554	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Pennsylvania	PABKR	1.6011	4.4800	145.0309	8.6269	4.7784	1.9587	0.0000	1.2417	0.0000	1.1075	4.7261	70.0103	0.0000	4.8208	1.7406	2.1161	0.0000	1.7491	1.7257	0.0000	0.0000	3.2526	4.8328	1.8477	1.4996	1.8548	0.6948	2.7435	0.0000	1.4170	2.0469	1.7198	0.2702	4.7278	0.0000	2.1698	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Texas	TXBKR	2.0140	6.8930	134.2857	7.8464	4.2974	1.4080	0.0000	2.9056	0.0000	1.6010	4.9541	82.7582	13.7931	4.4248	1.6765	2.4689	0.0000	2.5151	1.7142	1.5528	5.3215	4.7409	4.5975	0.0000	1.3621	1.2698	0.7285	0.0000	7.0142	1.5994	2.4689	1.6842	0.1587	4.8740	0.0000	2.4689	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Virginia	VABKR	1.6494	3.0337	124.6956	6.4311	4.7314	0.0000	0.0000	1.7179	0.0000	1.5716	4.3867	104.7232	0.0000	4.3620	2.0060	1.5406	0.0000	1.4804	1.4818	0.0000	5.1756	3.9702	4.3620	1.2483	1.5869	0.0000	2.4649	0.0000	0.0000	1.4837	2.2064	1.4878	0.2462	4.4157	0.0000	1.5406	1.4800	
3/31/2018 11:59:59 PM	All Bankers Banks in Wisconsin	WIBKR	2.1488	4.2560	114.4838	5.3831	3.7706	0.0000	0.0000	1.2995	0.0000	0.5972	4.2125	73.8641	4.4359	4.2326	2.1243	1.4882	0.0000	1.7892	1.2641	0.2560	0.0000	3.5490	4.4399	1.4827	1.4086	9.2000	0.7715	1.4016	4.2211	0.0923	1.7392	1.3846	0.1251	4.1735	0.0000	1.6356	4.0266	
3/31/2018 11:59:59 PM	All banks in nation 	NATIONAL	1.3072	5.5118	78.5614	5.1097	5.0359	1.7355	5.0821	0.8947	0.7042	1.4031	5.0110	68.1279	5.3607	5.1191	1.6033	2.2251	4.4253	1.0611	0.6233	0.2713	6.5146	2.8419	5.1257	1.8133	0.8475	1.2142	2.1641	2.5955	8.9673	0.3461	2.1985	0.6788	0.3227	4.9834	0.0000	2.3815	1.8053	
3/31/2018 11:59:59 PM	All credit card specialty banks	CRC	1.0510	9.3554	115.5479	54.9870	28.5109	2.9930	4.7112	6.0644	2.3718	1.4267	-2.1012	48.5581	6.6075	16.9818	1.2329	2.0850	16.8607	1.9818	1.8837	0.9258	11.7655	7.5237	16.9911	1.3807	1.1762	1.5160	4.4700	1.9013	17.4923	1.2794	2.4873	2.0265	0.2262	10.9352	0.0000	2.0853	10.1903	
