Reporting Period	Peer Group Description	Peer Group	UBPSE375	UBPSE365	UBPSE383	UBPSE358	UBPSK440	UBPSE369	UBPSE359	UBPSE372	UBPSE350	UBPSJA32	UBPSE345	UBPSJ250	UBPSJ249	UBPSE355	UBPSE373	UBPSJ243	UBPSE346	UBPSE349	UBPSE352	UBPSE364	UBPSE370	UBPSE381	UBPSE357	UBPSE361	UBPSE371	UBPSE351	UBPSK444	UBPSE360	UBPSE354	UBPSK443	UBPSK441	UBPSE377	UBPSE363	UBPSE353	UBPSE376	UBPSE379	UBPSE356	UBPSE374	UBPSE380	UBPSE362	UBPSE348	UBPSE347	
			LIAB_OTH_TOT_A	NTRAN_OSD_TOT_TA	LN_HFS_AVG_ATA	ASET_OTH_TOT_TA	DEP BELOW INS LIMIT PCT AVG ASSET	DEP_FGN_TA	ASET_NON_IB_TA	OTH_BRWD_FHLB_TA	FFS_A	Equity securities with readily deter	LN_HFS_ATA	INV_UNCONS_TA	INV_DIRIND_TA	CASH_NONINT_A	OTH_BRWD_OTH_TA	BANK_MIN_CAP_A	LN_NHFS_ATA	BAL_IB_CYA_T	SEC_A	NTRAN_MMDA_CYA_TA	DEP_TOT_TA	DEP_INS_BRKR_TA	ORE_TA	STBY_LTR_CR_A	FFP_A	TRD_ACCT_ASET_AA	TIME DEP ABOVE LIMIT PCT AVG ASSET	ASET_CMPNT_TOT	EA_AA	DMD MMDA BLW LIMIT LESS BRKR PCT AVG	FULLY INS BRKR DEP PCT AVG ASSET	SUBNTD_CYA_TA	NOW_ATS_TA	SEC_HTM_A	LIAB_TOT_A	LIAB_CAP_ASET_TEST	FIX_ASET_A	NCORE_FND_LT1_AA	DEP_BRKR_TA	DEP_DMD_TA	LNLS_NET_A	ALWNC_LNLS_ATA	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	4.4137	0.0000	0.0000	10.8025	4.6072	0.0000	12.1554	4.9684	2.5500	0.0000	0.0000	0.0000	0.0000	1.1644	0.0000	8.3873	40.2792	22.2692	0.0000	19.5023	76.7626	3.5682	0.0000	0.0000	5.4677	0.0000	0.4241	100.0000	87.8445	72.7702	3.5682	0.0000	0.0000	23.3281	91.6126	100.0000	0.1884	14.4286	3.5682	52.2289	39.6970	0.5821	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	2.6760	0.0000	0.0000	4.2558	37.3053	0.0000	9.1264	0.0000	3.9321	0.0000	0.0000	0.0000	0.0000	4.3077	0.0000	11.8033	60.5783	18.8817	0.1347	0.0000	75.3049	12.9822	0.1272	0.0000	10.2156	0.0000	0.0000	100.0000	90.8735	62.3227	12.9822	0.0000	0.0000	8.5048	88.1966	100.0000	0.4355	14.2595	12.9822	37.9995	59.4200	1.1583	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	1.5573	15.9218	0.0000	5.2715	27.8174	0.0000	11.9369	4.1280	8.3378	0.0000	0.0000	0.0000	0.0000	5.7407	0.0000	13.9417	70.7060	6.0899	0.0000	8.4209	80.3728	31.1650	0.3032	0.2130	0.0000	0.0000	0.0000	100.0000	88.0630	49.2075	31.1650	0.0000	0.0000	4.4569	86.0582	100.0000	0.6214	26.1623	31.1650	28.2123	69.1784	1.5276	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	0.1776	0.0000	0.0000	0.4491	0.0000	0.0000	1.4162	0.0000	3.1080	0.0000	0.0000	0.0000	0.0000	0.0793	0.0000	12.1079	26.9152	67.9648	0.8727	0.0000	78.8962	0.0000	0.0000	0.0132	8.8182	0.0000	0.0000	100.0000	98.5837	78.8962	0.0000	0.0000	0.0502	0.0000	87.8920	100.0000	0.8877	8.8182	0.0000	78.8459	26.6380	0.2772	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	1.0060	0.0000	0.0000	5.7915	0.0115	0.0000	9.0319	1.7946	7.1528	0.0000	0.0000	0.0000	0.0000	1.9654	0.0000	15.7091	66.3911	13.4631	0.0000	0.0000	48.1703	0.0000	0.0000	0.0000	33.3198	0.0660	0.0598	100.0000	90.9680	48.1105	0.0000	0.0000	0.0000	5.3876	84.2908	100.0000	1.2750	35.1742	0.0000	48.0990	64.8982	1.4929	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	0.4403	0.0000	0.0000	0.6186	75.0637	0.0000	1.0051	3.0739	0.0000	0.0000	0.0000	0.0000	0.0000	0.1437	0.0000	6.2847	61.5543	24.9723	0.0000	0.0000	80.4693	0.0000	0.2197	0.0230	9.7314	0.0000	3.0532	100.0000	98.9948	77.4169	0.0000	0.0000	0.0000	13.0721	93.7152	100.0000	0.0230	14.7059	2.3054	2.3531	60.9503	0.6040	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	0.8502	0.0000	0.0000	2.9617	31.6320	0.0000	3.6541	2.7122	9.2430	0.0000	0.0000	0.0000	0.0000	0.4091	0.0000	11.3543	72.8983	3.4433	0.0000	0.0000	81.1980	30.2870	0.0922	0.0058	3.8851	0.4194	0.0000	100.0000	96.3458	50.9110	30.2870	0.0000	0.0000	11.2007	88.6456	100.0000	0.1910	23.2616	30.2870	49.5660	72.0392	0.8591	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	1.5445	0.0068	0.0000	3.3177	5.6645	0.0000	5.4660	0.0000	11.1682	0.0000	0.0000	0.9701	0.0000	0.2419	0.0000	12.9626	47.8131	19.1672	0.1667	0.0000	75.8191	0.2491	0.2049	0.0000	9.6736	0.0000	1.4343	100.0000	94.5339	74.1356	0.2491	0.0000	0.0000	17.9359	87.0373	100.0000	0.7311	10.8567	0.2491	68.7134	46.0956	1.7175	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	1.2767	0.0000	0.0000	4.1057	25.9896	0.0000	7.5504	0.0000	5.8034	0.0000	0.0000	0.5030	0.0000	0.3114	0.3087	12.0947	59.7787	27.1607	0.0000	0.0000	81.0950	17.4739	0.0000	0.0000	5.2246	0.0000	0.0000	100.0000	92.4495	63.6211	17.4739	0.0000	0.0000	0.5565	87.9052	100.0000	2.6301	12.5640	17.4739	55.1053	58.9287	0.8499	
