Reporting Period	Peer Group Description	Peer Group	UBPSE865	UBPSE855	UBPSE843	UBPSE870	UBPSE868	UBPSE854	UBPSE842	UBPSE839	UBPSE857	UBPSE867	UBPSE876	UBPSE849	UBPSE852	UBPSE856	UBPSE860	UBPSE840	UBPSE837	UBPSE848	UBPSE873	UBPSE846	UBPSE859	UBPSE841	UBPSE874	UBPSE847	UBPSE838	UBPSE845	UBPSE864	UBPSE862	UBPSE844	UBPSE871	UBPSE853	UBPSE861	UBPSE863	UBPSE869	UBPSE851	UBPSE836	UBPSE872	UBPSE850	UBPSE866	UBPSE858	UBPSE875	
			PDM_90MOR_HOMEQ_T	NCOS_CMLLN_T	PDS_90MOR_FAMRES_T	PDM_SEC_ASET_T	PDM_90MOR_OTHLN_T	NCOS_AUTLN_T	PDS_3089_TOT_T	PDS_3089_AUTLN_T	NCOS_TOT_T	PDM_90MOR_CMLLN_T	NCOS_TOT_TM_T	PDS_90MOR_TOT_T	NCOS_HOMEQ_T	NCOS_OTHLN_T	PDM_3089_CRCD_T	PDS_3089_CMLLN_T	PDS_3089_HOMEQ_T	PDS_90MOR_OTHLN_T	NCOS_CRCD_TM_T	PDS_90MOR_AUTLN_T	PDM_3089_HOMEQ_T	PDS_3089_OTHLN_T	NCOS_CMLLN_TM_T	PDS_90MOR_CMLLN_T	PDS_3089_CRCD_T	PDS_90MOR_CRCD_T	PDM_90MOR_FAMRES_T	PDM_3089_OTHLN_T	PDS_90MOR_HOMEQ_T	NCOS_FAMRES_TM_T	NCOS_CRCD_T	PDM_3089_CMLLN_T	PDM_3089_TOT_T	PDM_90MOR_TOT_T	NCOS_FAMRES_T	PDS_3089_FAMRES_T	NCOS_HOMEQ_TM_T	PDS_SEC_ASET_T	PDM_90MOR_CRCD_T	PDM_3089_FAMRES_T	NCOS_OTHLN_TM_T	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
