Reporting Period	Peer Group Description	Peer Group	UBPSE573	UBPSE575	UBPSE561	UBPSE558	UBPSE555	UBPSE566	UBPSE576	UBPSE578	UBPSE581	UBPSE563	UBPSE577	UBPSE568	UBPSE570	UBPSE580	UBPSE560	UBPSE553	UBPSE556	UBPSE565	UBPSE579	UBPSE572	UBPSE559	UBPSE569	UBPSE571	UBPSE567	UBPSE554	UBPSE557	UBPSE564	UBPSE574	UBPSE562	
			LN_SEC_CMO_RP_O1A	RPRC_NET_1YR_A	MBS_OTH_O3Y_A	LNLS_SEC_OTH_515_A	LN_SMFAM_PT_515_A	SEC_HTM_BV_A	DEP_NMAT_TOT_A	DEP_NMAT_NET_LA_A	INT_RT_OTH_T1CAP	MTG_FV_A	DEP_NMAT_TOT_LA	SEC_APDP_URL_HTM_A	LN_SEC_CMO_RP_O3A	MTG_FV_T1CAP	MBS_TOT_OTH_A	LN_SMFAM_PT_TOT_A	LNLS_SEC_OTH_TOT_A	SEC_AFS_FV_A	NOTES_STRU_T1CAP	RPRC_NET_3YR_AA	LNLS_SEC_PT_O15_A	SEC_APDP_HRM_T1CAP	DEP_LB_OTH_RP_O3_A	OFBS_TOT_A	LN_SMFAM_PT_O15_A	LNLS_SEC_OTH_O15_A	INT_RT_TOT_OTH_A	DEP_LB_OTH_RP_O1_A	NOTES_STRU_AMRT_A	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	40.4137	40.4137	0.0021	6.9322	18.7070	0.0000	68.9349	-33.4426	0.0000	0.0000	194.2252	0.0000	35.4922	0.0000	0.0319	23.1562	41.7503	23.1038	0.0000	35.4922	4.0320	0.0000	0.0000	2.9284	4.0320	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	31.9537	16.2770	2.7817	6.3317	0.4583	0.1230	42.2064	-18.2505	0.0000	0.0000	176.1838	0.0032	23.9559	0.0000	3.3679	1.2137	59.3206	8.5413	0.0000	22.7556	2.0181	0.0294	1.2002	30.6219	0.0654	1.9527	0.0000	15.6766	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	31.7331	22.2995	0.0000	2.2314	0.0000	0.0000	55.2240	-39.8780	0.0000	0.0000	359.8606	0.0000	15.3459	0.0000	0.0000	3.7753	74.1889	4.6010	0.0000	15.3459	0.3070	0.0000	0.0000	77.2841	0.1205	0.1865	0.0000	9.4335	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	18.1264	18.1264	0.0000	3.5973	0.1519	0.8754	69.9533	-56.5065	0.0000	0.0000	520.2220	0.0035	13.4468	0.0000	0.0000	2.1900	26.8671	0.0000	0.0000	13.4468	0.0000	0.0290	0.0000	10.4024	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	34.3410	34.3410	0.2477	4.3709	2.5975	0.0000	49.5643	-26.2582	0.0000	0.0000	212.6672	0.0000	23.3060	0.0000	0.7701	3.9887	61.1107	4.9350	0.0000	23.3060	0.6484	0.0000	0.0000	17.7177	0.1183	0.5300	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	52.8858	13.4432	0.0000	11.4437	14.7853	0.0000	1.6941	41.7927	0.0000	0.0000	3.8958	0.0000	43.4869	0.0000	0.0000	23.3076	46.7770	12.4548	0.0000	43.4869	3.0090	0.0000	0.0000	3.1072	1.6745	1.3345	0.0000	39.4426	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	57.6368	42.4299	0.5015	19.2647	0.3011	0.0000	53.6698	-12.0074	0.0000	0.0000	128.8209	0.0000	41.6623	0.0000	0.5015	1.1657	84.9411	10.1057	0.0000	41.6015	3.7468	0.0000	0.0608	29.9707	0.0613	3.6855	0.0000	15.2068	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	41.4169	37.1079	0.0000	9.0140	1.3891	0.1796	76.5486	-53.3354	7.7614	0.0000	329.7637	0.0000	23.2131	0.0000	0.0000	4.1818	65.6728	19.1366	7.7614	21.6044	2.8896	0.0000	1.6087	25.9296	0.8041	2.0855	1.0772	4.3090	1.0772	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	33.0597	14.1966	0.0000	8.7474	0.1454	0.0000	60.4675	-42.5354	0.0000	0.0000	337.2022	0.0000	17.9321	0.0000	0.0000	1.4190	59.7834	0.5869	0.0000	5.8390	3.2083	0.0000	12.0930	23.6378	0.0000	3.2083	0.0000	18.8631	0.0000	
