Reporting Period	Peer Group Description	Peer Group	UBPSE622	UBPSE589	UBPSM042	UBPSM032	UBPSM030	UBPSM036	UBPSM031	UBPSM037	UBPSM028	UBPSM038	UBPSE602	UBPSM033	UBPSM026	UBPSM039	UBPSE590	UBPSE623	UBPSM034	UBPSM027	UBPSM029	UBPSE624	UBPSM035	UBPSE621	
			SEC_APP_DPR_BV_SEC	INV_TEMP_TA	SEC CATEGORIES, PCT TOT SEC	ABS / PCT OF TOT SCTY	CMO REMIC MBS / PCT OF TOT SCTY	MUT FND OTH MKTBL SCTY / PCT TOT SY	CMRL MBS / PCT OF TOT SCTY	APP IN AFS SEC / PCT OF AFS SEC	MUNI SEC / PCT OF TOT SEC	PLEDGED LN / PCT OF TOT LN	LNLS_LTR_CR_TA	STRUCT FIN PROD / PCT OF TOT SCTY	PLEDGED ASSETS / PCT OF TOT ASSETS	LN HELD FOR SALE / PCT OF TOT LN	SEC_MKTB_TA	SEC_APP_ECAP	OTHR DOM DEBT SECS / PCT OF TOT SCTY	US TREAS GOVT AGENCIES / PCT OF TOT 	PASS-THRU MBS / PCT OF TOT SCTY	SEC_PLDG_TS	FOR DEBT SEC / PCT OF TOT SCTY	APP_HRSK_NTE_STRU	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	0.0000	21.5961	100.0000	0.0000	0.1381	0.0000	0.0000	-3.1647	0.0000	85.3171	41.2895	0.0000	53.3102	0.0000	0.0000	0.0000	0.0000	0.0000	99.8618	76.0675	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	2.5691	27.4973	100.0000	0.0000	38.8711	8.2519	19.6041	-0.8921	0.0000	19.1786	55.7918	0.0000	10.9212	0.0000	0.7149	0.0290	0.0000	28.9883	4.2844	0.2881	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	0.0000	14.2325	100.0000	0.0000	0.0000	0.5314	0.0000	-0.8941	0.0000	30.3541	72.0376	0.0000	22.2762	0.0000	0.0244	0.0000	0.0000	99.4685	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	0.4020	70.6874	100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.9166	0.0000	0.8754	0.0000	0.0000	0.0290	0.0000	100.0000	0.0000	100.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	0.0000	26.5118	100.0000	0.0000	15.6033	0.0000	0.0000	-2.1390	13.6265	0.0000	60.6902	0.0000	1.8308	0.0000	0.0000	0.0000	0.0000	17.9876	52.7823	37.0995	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	0.0000	28.5021	100.0000	0.0000	0.0000	0.0000	0.0000	-3.1496	0.0000	52.3081	57.9337	0.0000	34.0033	0.0000	0.0000	0.0000	4.3441	0.0000	95.6558	27.3025	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	0.0000	18.3821	100.0000	0.0000	4.9634	0.0000	0.0000	-0.7803	0.3669	16.0062	75.6967	0.0000	12.5240	0.0000	0.0000	0.0000	0.0000	93.1529	1.5166	2.5538	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	0.0000	26.7234	100.0000	0.0000	0.0000	0.0000	0.0000	-2.5097	30.8796	90.2636	48.6846	0.0000	57.1874	0.0000	0.0000	0.0000	7.5413	51.6118	8.2333	59.8954	1.7337	-0.1397	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	0.0000	32.1803	100.0000	0.0000	0.0000	0.0000	0.0000	-0.4255	0.0000	4.7543	59.7164	0.0000	2.8819	0.0000	0.0000	0.0000	0.0000	90.9645	9.0354	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Pennsylvania	PABKR	-2.4613	37.1324	100.0000	0.0000	34.6822	0.0000	9.6767	-1.1215	9.0948	0.0000	37.4979	0.0000	10.2720	0.0000	0.0000	-0.2901	2.7152	6.9001	36.9307	65.8949	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Texas	TXBKR	0.0000	35.5485	100.0000	0.0000	0.0000	0.0000	0.0000	-1.2367	0.0000	47.2761	40.6662	0.0000	27.2009	0.8278	0.0000	0.0000	0.0000	0.0000	100.0000	43.6541	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Virginia	VABKR	0.0000	33.1505	100.0000	0.0000	4.0097	0.0000	0.0000	-1.2052	0.0000	100.0000	50.7010	0.0000	59.1335	0.0000	0.0000	0.0000	0.0000	94.8513	1.1389	46.3720	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Wisconsin	WIBKR	0.0000	37.0941	100.0000	0.0000	0.0000	0.0000	0.0000	-2.4354	38.3942	0.0000	46.8724	0.0000	3.3918	1.9602	0.0000	0.0000	0.8989	46.2464	14.4603	25.9611	0.0000	0.0000	
3/31/2018 11:59:59 PM	All banks in nation 	NATIONAL	-0.7170	8.9595	100.0000	0.0104	6.5483	0.0860	1.4095	-1.6848	28.0124	25.6985	65.3338	0.1817	26.4599	0.0750	0.0107	-0.1010	1.2015	24.4146	19.9039	35.8810	0.0004	-0.0898	
