Reporting Period	Peer Group Description	Peer Group	UBPSE601	UBPSM011	UBPSM040	UBPSE595	UBPSM004	UBPSE591	UBPSE600	UBPSE597	UBPSM014	UBPSE598	UBPSM009	UBPSE592	UBPSM017	UBPSK447	UBPSM006	UBPSM010	UBPSM012	UBPSE596	UBPSM005	UBPSM015	UBPSM013	UBPSM008	UBPSM041	UBPSM007	UBPSE599	UBPSM016	
			LNLS_DEP	DOM NON TRANS ACCTS / PCT OF TOT DEP	DEP CATEGORIES, % TOT DEP	DEP_BRKR_DEP	DEP OF INDIVID PARTNER CORP TOTAL	DEP_TA	LNLS_DEP_TOT	INV_TEMP_NCORE_FND	LIST SERVICE DEP / PCT OF TOT DEP	ASET_TEMP_LIAB_TMP	DOM DEMAND DEP / PCT OF TOT DEP	LIAB_NCORE_LT1_TA	RECIPROCAL BROK DEP / PCT TOT BROK D	NCORE DPDNCY INS LIMIT TIME DEP	DOM FOR DEP CMRL BK OTHR DEP PCT TOT	DOM OTH TRANS ACCTS / PCT OF TOT DEP	TOT DOM DEP / PCT OF TOT DEP	BRKR_LT1_BRKR_TOT	DEP US GOVT STATES PCT TOTAL DEP	LIST SERVICE DEP BROK DEP / PCT TOT 	DEP IN FOR OFFICES / PCT OF TOT DEP	DOM FOR DEP FOR GOVT PCT TOT DEP	TOT DEP, % TOT DEP	DOM FOR DEP BK FOR CNTRY PCT TOT DEP	LIAB_SHRT_TRM_TA	SECURED BOR FFP / PCT OF TOTAL	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	59.3613	34.0753	100.0000	5.3430	6.1315	69.5563	55.8631	136.2582	0.0000	170.3431	65.9246	15.8494	0.0000	-8.9249	93.8684	0.0000	100.0000	100.0000	0.0000	5.3430	0.0000	0.0000	100.0000	0.0000	-11.5861	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	85.9570	45.0034	100.0000	15.4242	16.0179	64.9066	72.6988	194.2199	28.0597	183.4971	54.9965	14.1578	0.0000	-8.8567	83.9820	0.0000	100.0000	35.2454	0.0000	43.4839	0.0000	0.0000	100.0000	0.0000	-24.0859	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	144.2677	63.2314	100.0000	38.2642	1.5775	49.7807	89.0647	57.3129	3.6805	130.7710	36.7685	24.8329	0.0000	26.9064	98.4224	0.0000	100.0000	69.4257	0.0000	41.9448	0.0000	0.0000	100.0000	0.0000	-5.9664	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	39.8886	0.0000	100.0000	0.0000	0.0315	69.9533	39.8886	399.9700	0.0000	423.2591	99.9621	17.6731	0.0000	-189.9920	99.9684	0.0378	100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	0.0000	-57.1302	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	122.4205	0.1363	100.0000	0.0000	0.0066	49.5752	122.2806	76.4439	0.0220	107.0615	99.8636	34.6814	0.0000	12.4902	99.9933	0.0000	100.0000	0.0000	0.0000	0.0220	0.0000	0.0000	100.0000	0.0000	-2.4498	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	71.6974	97.9690	100.0000	2.7175	0.0000	80.7713	69.4216	247.2662	50.9638	73.7461	2.0309	11.5268	0.0000	-21.9091	100.0000	0.0000	100.0000	66.6666	0.0000	53.6814	0.0000	0.0000	100.0000	0.0000	13.8286	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	137.4201	37.6368	100.0000	35.9986	36.3222	55.0796	87.9507	100.5245	1.6382	181.5994	62.3631	18.2862	0.0000	17.6946	63.6777	0.0000	100.0000	55.2267	0.0000	37.6368	0.0000	0.0000	100.0000	0.0000	-14.9818	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	58.8532	9.4566	100.0000	0.3175	0.3094	82.7221	57.5906	2096.7296	5.9877	1009.3679	90.5433	1.2745	0.0000	-36.7688	99.6905	0.0000	100.0000	100.0000	0.0000	6.3053	0.0000	0.0000	100.0000	0.0000	-33.4503	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	86.2284	29.6379	100.0000	19.4140	0.1367	69.2537	69.4880	665.5796	10.2238	630.5201	70.3620	4.8349	0.0000	-25.8502	99.8632	0.0000	100.0000	28.9795	0.0000	29.6379	0.0000	0.0000	100.0000	0.0000	-35.0515	0.0000	
