Reporting Period	Peer Group Description	Peer Group	UBPSE174	UBPSE212	UBPSE154	UBPSE193	UBPSE204	UBPSE221	UBPSE135	UBPSE141	UBPSE214	UBPSE156	UBPSE183	UBPSE157	UBPSL126	UBPSL129	UBPSE148	UBPSE142	UBPSE194	UBPSE211	UBPSE165	UBPSE168	UBPSE176	UBPSE182	UBPSE132	UBPSL128	UBPSE149	UBPSE027	UBPSE202	UBPSE137	UBPSE170	UBPSE208	UBPSE155	UBPSE163	UBPSE173	UBPSE134	UBPSL121	UBPSE192	UBPSE213	UBPSE169	UBPSL119	UBPSE144	UBPSE190	UBPSE209	UBPSE152	UBPSE166	UBPSE184	UBPSE164	UBPSE179	UBPS7316	UBPSL123	UBPSE200	UBPSE223	UBPSE216	UBPSE143	UBPSE145	UBPSE161	UBPSE139	UBPSE175	UBPSE185	UBPSE153	UBPSE220	UBPSL120	UBPSE198	UBPSE201	UBPSE136	UBPSE203	UBPSE146	UBPSE189	UBPSE215	UBPSE138	UBPSE186	UBPSE172	UBPSE162	UBPSE180	UBPSL125	UBPSE195	UBPSE210	UBPSL118	UBPSE147	UBPSE191	UBPSE167	UBPSE181	UBPSE151	UBPSL124	UBPSE133	UBPSE222	UBPSL127	UBPSL122	UBPSE196	UBPSE219	UBPSE187	UBPSE140	UBPSE217	
			SEC_INV_HTM_GQ	OTH_BRWD_OTHLT1_GY	DEP_DMD_GQ	BAL_IB_GY	NTRAN_OSD_GY	SEC_INV_HTM_GY	LN_FARM_GQ	LNLS_NET_GQ	ACPT_OTH_LIAB_GY	NTRAN_MMDA_GQ	LNLS_OTH_DOM_GY	NTRAN_OSD_GQ	INVUNCNSL SUBS ASSC CO 1Q CHG	FFP RESALE 1YR CHG	CASH_NONINT_GQ	SEC_US_GOVT_GQ	TRD_ACCT_ASET_GY	OTH_BRWD_FHLBG1_GY	OTH_BRWD_OTHLT1_GQ	LIAB_TOT_GQ	DEP_BRKR_GQ	LN_FARM_GY	LN_RE_GQ	FFP RESALE 1Q CHG	FIX_ASET_GQ	LNLS_NET_GY	NOW_ATS_GY	LN_FGN_TOT_GQ	STK_COM_PREF_GQ	DEP_FGN_GY	NOW_ATS_GQ	OTH_BRWD_FHLBL1_GQ	ORE_NONINV_GQ	LN_IND_GQ	TOT INV 1YR CHG	SEC_EQ_OTH_GY	OTH_BRWD_OTHGT1_GY	SUBNTD_GQ	FFS SEC PUR UND REPUR AGREE 1YR CHG	SEC_FGN_DBT_GQ	SEC_ST_POL_GY	DEP_TOT_GY	ASET_TOT_GQ	OTH_BRWD_OTHGT1_GQ	LN_FGN_TOT_GY	OTH_BRWD_FHLBG1_GQ	LN_RE_GY	SURVEILLANCE MODEL ASSET GROWTH RATE	TOT EARNING ASSETS 1YR CHG	ASET_QAVG_GY	DEP_BRKR_GY	SUBNTD_GY	SEC_ST_POL_GQ	SEC_EQ_OTH_GQ	DEP_FGN_GQ	LN_NHFS_GQ	SEC_INV_AFS_GQ	LN_HFS_GY	ASET_QAVG_GQ	ORE_NONINV_GY	TOT INV 1Q CHG	ASET_ACPT_OTH_GY	DEP_DMD_GY	LNLS_OTH_DOM_GQ	NTRAN_MMDA_GY	BAL_IB_GQ	SEC_US_GOVT_GY	LIAB_TOT_GY	LN_HFS_GQ	LN_NHFS_GY	EXT_CR_EXEC_GQ	DEP_TOT_GQ	LN_CML_GY	DIR INDIR INVRE VENT 1YR CHG	CASH_NONINT_GY	OTH_BRWD_FHLBL1_GY	FFS SEC PUR UND REPUR AGREE 1Q CHG	TRD_ACCT_ASET_GQ	SEC_FGN_DBT_GY	ACPT_OTH_LIAB_GQ	LN_IND_GY	ASET_ACPT_OTH_GQ	DIR INDIR INVRE VENT 1Q CHG	LN_CML_GQ	SEC_INV_AFS_GY	INVUNCNSL SUBS ASSC CO 1YR CHG	TOT EARNING ASSETS 1Q CHG	FIX_ASET_GY	EXT_CR_EXEC_GY	RES_LNLS_LOS_GY	RES_LNLS_LOS_GQ	STK_COM_PREF_GY	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	0.0000	0.0000	-16.2671	0.1538	0.0000	0.0000	0.0000	3.2885	79.4198	2.5047	0.0000	0.0000	0.0000	-11.0630	-15.7248	-6.2780	0.0000	0.0000	0.0000	-4.7767	17.6902	0.0000	1.0205	33.9311	30.3720	10.5248	0.0000	0.0000	-1.4204	0.0000	0.0000	0.0000	0.0000	0.0000	-10.1146	0.0000	0.0000	0.0000	29.7438	0.0000	0.0000	2.6059	-4.4995	0.0000	0.0000	0.0000	7.0712	2.2843	-1.2605	2.9565	16.6647	0.0000	0.0000	0.0000	0.0000	3.2418	-6.2780	0.0000	-4.8106	0.0000	-17.0265	32.4094	-4.3130	0.0000	36.8011	-23.9532	-19.2147	2.8049	0.0000	10.4035	0.0000	-11.1956	33.4978	0.0000	11.2913	-20.0000	-42.8024	0.0000	0.0000	104.7555	0.0000	35.0577	0.0000	17.5888	-19.2147	0.0000	-8.3727	102.2379	0.0000	2.6039	0.1067	-2.9881	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	-6.6287	0.0000	42.2623	123.7819	0.0000	-29.8719	-17.3178	-1.4251	-4.8758	0.0000	-11.0345	0.0000	0.0000	166.6666	-2.5051	0.6188	0.0000	0.0000	0.0000	13.9359	-6.9270	20.0251	-0.2206	6.9518	6.3789	2.1926	0.0000	0.0000	-0.1095	0.0000	0.0000	0.0000	-14.9712	-3.9473	66.4418	64.8985	0.0000	0.0000	46.1565	0.0000	0.0000	17.5108	12.1762	0.0000	0.0000	0.0000	3.5507	21.8475	20.3014	19.2820	-13.1638	0.0000	0.0000	64.7860	0.0000	-1.6486	13.2014	0.0000	5.6970	-44.5556	49.6621	-2.3837	61.4010	-6.1797	0.0000	102.7767	-12.7864	24.6493	0.0000	1.8177	-11.1111	16.8236	-6.9133	0.0000	163.0960	0.0000	-29.2917	0.0000	0.0000	-28.2943	-0.9049	-1.8618	0.0000	13.1699	1.0156	0.0000	13.7111	80.5732	0.0000	-15.1615	-12.4786	3.3485	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	0.0000	0.0000	3.4916	9.9473	5.6470	0.0000	-6.9778	0.9681	-23.5125	-0.4369	-30.0405	5.5531	0.0000	0.0000	-11.3412	-0.2107	0.0000	0.0000	0.0000	-7.5719	-8.0154	1.0983	3.4261	0.0000	-3.3101	9.4138	0.0000	0.0000	2.5508	0.0000	0.0000	-33.3333	0.0000	-7.7339	-33.0543	53.5714	0.0000	0.0000	-63.3986	0.0000	0.0000	-6.7302	-6.2218	0.0000	0.0000	0.0000	40.2398	-2.6408	-2.2098	2.3758	-5.5742	0.0000	0.0000	10.2564	0.0000	0.9243	-0.1604	0.0000	4.2683	-29.8982	-26.2803	-12.8809	-21.3335	-15.5332	7.7194	20.9585	-0.5806	-4.1302	0.0000	8.9983	35.5932	-5.6265	15.5492	0.0000	4.4761	300.0000	-58.3060	0.0000	0.0000	-26.1443	0.4378	-11.8369	0.0000	27.0149	-0.3939	0.0000	-5.5716	-9.4616	29.0322	-7.1308	-1.0394	7.1028	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	0.2022	0.0000	-20.6223	2703.2280	0.0000	-0.9990	0.0000	9.4952	4.8780	0.0000	8.1283	0.0000	0.0000	4530.7870	0.0000	0.2022	0.0000	0.0000	0.0000	-0.5860	0.0000	0.0000	2.5282	0.0000	-0.9881	6.7601	87.5000	0.0000	0.8335	0.0000	-64.2857	0.0000	0.0000	0.0000	1994.6073	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-12.3975	-0.4152	0.0000	0.0000	0.0000	5.2929	8.0260	234.0787	22.6357	0.0000	0.0000	0.0000	0.0000	0.0000	9.3964	0.0000	0.0000	14.0821	0.0000	-3.8316	-50.5408	-12.4152	24.5917	0.0000	5.1369	-0.9990	9.2028	0.0000	6.6925	-2.2384	-20.6591	13.1957	0.0000	-99.8700	0.0000	-100.0000	0.0000	0.0000	14.3617	0.0000	-2.5193	0.0000	28.7091	0.0000	0.0000	-0.4007	-8.5766	-8.1682	0.3184	0.3184	0.2398	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	0.0000	0.0000	19.0215	18.2193	0.0000	0.0000	24.0378	-2.6971	-23.2302	0.0000	-14.1299	0.0000	0.0000	4.8593	-44.0493	-6.2572	0.0000	-100.0000	0.0000	13.8640	0.0000	363.1330	-0.0262	8.8035	-1.1619	-1.6565	0.0000	0.0000	0.0949	0.0000	0.0000	0.0000	0.0000	0.0000	8.2725	0.0000	0.0000	0.0000	11.4432	0.0000	-29.3805	1.4378	11.5769	0.0000	0.0000	0.0000	3.8102	0.2623	1.5060	1.3454	0.0000	0.0000	-8.4129	0.0000	0.0000	-2.6173	-6.5569	0.0000	5.0295	0.0000	71.5398	-4.2360	1.5675	-10.2440	0.0000	275.0191	-20.0765	1.1181	0.0000	-1.6585	-5.5434	18.9906	-16.2592	0.0000	-39.6481	230.0000	-17.3083	-100.0000	0.0000	-20.9716	0.0000	1.8518	0.0000	-5.7986	-21.4861	0.0000	14.0755	1.8083	-18.4037	-1.7457	0.9148	-4.3604	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	0.0000	0.0000	-42.2462	120.6247	0.0000	0.0000	-1.0482	-6.5255	6.0913	0.0000	0.0000	0.0000	0.0000	-43.7845	206.5217	-6.1994	0.0000	-100.0000	0.0000	4.3810	0.0000	-11.5276	-5.7794	-37.4036	-23.5294	-14.0601	0.0000	0.0000	-9.4150	0.0000	0.0000	0.0000	0.0000	-1.0378	64.7116	1.4164	0.0000	0.0000	0.0000	0.0000	0.0000	17.0572	3.4554	0.0000	0.0000	0.0000	-11.1608	7.0109	7.1723	6.7963	50.0000	0.0000	0.0000	-1.9178	0.0000	-6.4635	-6.0212	0.0000	1.0764	-35.0000	20.9551	14.4303	-10.0321	0.0000	0.0000	38.3030	4.3829	9.2210	0.0000	-14.1758	0.0000	11.4755	-38.3629	0.0000	-12.4223	0.0000	0.0000	0.0000	0.0000	-42.5824	-12.3440	28.0453	0.0000	-19.3400	4.2504	0.0000	3.1862	-18.7500	0.0000	-24.1312	0.0000	-19.1891	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	0.0000	0.0000	6.8276	-63.2381	0.0000	0.0000	-11.6697	0.4766	5.5647	0.0000	8.5335	0.0000	0.0000	68.5625	-43.7865	-24.5137	0.0000	-100.0000	0.0000	-10.0096	-4.7130	66.6091	4.2076	-89.0187	-13.0409	14.0102	0.0000	0.0000	1.2867	0.0000	0.0000	-93.0232	-7.1516	15.2097	-44.3726	0.0000	0.0000	0.0000	60.6763	0.0000	-81.1439	-3.5270	-8.7912	0.0000	0.0000	0.0000	22.1362	-6.9358	-6.9940	-5.6947	5.1536	0.0000	0.0000	0.0000	0.0000	0.5788	-24.4457	0.0000	-1.8049	-24.2454	-31.2909	-5.2355	-7.5217	-5.1236	0.0000	33.1058	-54.2884	-8.1831	0.0000	14.0286	-2.4647	2.2549	-7.7772	0.0000	18.1173	-92.6829	-52.7285	-46.8130	0.0000	-21.2027	45.3146	-8.3698	0.0000	-4.6391	-54.5260	0.0000	-8.6150	-22.3995	67.7658	15.5316	9.5340	3.3852	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	0.0000	0.0000	7.0502	-48.5310	-99.9325	0.0000	-35.0203	-3.8375	-44.8947	0.0000	12.7448	-4.7619	-2.8803	0.0000	-35.6738	-2.3464	0.0000	0.0000	0.0000	-14.6969	0.0000	-18.2240	-6.7931	-100.0000	-2.2552	7.7361	0.0000	0.0000	-4.0366	0.0000	0.0000	0.0000	-39.1361	0.0000	-25.0110	11.0076	0.0000	0.0000	213.4937	-4.4102	-15.5216	-11.1363	-13.3810	0.0000	0.0000	0.0000	-6.2599	-10.7443	-11.0536	-10.4117	-50.0000	0.0000	-3.8572	12.6111	0.0000	-3.6888	-1.8937	0.0000	-2.1517	-66.1078	-22.3381	-2.2668	0.1518	-2.2199	0.0000	-12.8348	-7.4907	-12.2498	0.0000	7.5487	-0.1525	7.2580	84.3867	0.0000	517.3913	0.0000	-58.3851	0.0000	-2.6123	16.1260	0.0000	-3.1565	0.0000	11.9876	-9.0168	-1.8829	-13.7740	-7.3931	26.5782	2.8508	0.3891	0.0946	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	0.0000	-100.0000	7.7496	105.9287	0.0000	0.0000	-26.1105	-8.0703	25.0082	0.0000	-17.5115	0.0000	0.2697	0.0000	-30.3505	-0.6067	0.0000	0.0000	-100.0000	-11.5448	-17.7539	-2.6897	-6.6775	-100.0000	-1.0506	-0.3581	0.0000	0.0000	-1.3686	0.0000	0.0000	0.0000	0.0000	-4.1237	16.3523	0.0000	0.0000	0.0000	-78.6567	0.0000	0.0000	6.1026	-10.3697	0.0000	0.0000	0.0000	2.3120	4.7079	4.9442	1.2549	-21.6409	0.0000	0.0000	0.0000	0.0000	-7.9601	-0.6067	0.0000	-4.5657	0.0000	-15.8356	2.7387	12.8683	-4.7135	0.0000	1.9851	-2.6159	5.0331	0.0000	-0.3470	-6.1093	0.3540	38.3952	0.0000	92.6020	0.0000	-70.3288	0.0000	0.0000	0.7991	4.7887	-1.8960	0.0000	-5.3601	-2.6159	4.9400	-10.9604	-3.9547	-13.4387	0.4001	0.0000	2.5272	
3/31/2018 11:59:59 PM	All Bankers Banks in Pennsylvania	PABKR	-0.0589	0.0000	69.8933	30.4915	0.0000	-13.0396	0.0000	14.9199	12.1958	5.2023	-15.3711	0.0000	0.0000	16.5532	14.1705	67.2562	0.0000	14.6461	0.0000	32.5091	19.2012	0.0000	20.0191	12.2903	-2.2123	21.0990	0.0000	0.0000	24.0305	0.0000	0.0000	-4.8456	0.0000	-11.1111	38.0303	-7.7962	7.1428	0.0000	110.8094	0.0000	-13.0396	38.8620	31.4577	5.7827	0.0000	14.7508	34.5742	32.1446	30.4646	29.9249	13.7042	0.0000	-0.0589	-3.5381	0.0000	14.4952	52.0431	0.0000	26.6763	0.0000	50.2445	19.4283	62.3535	-5.4366	0.3508	42.6261	58.1934	33.1274	0.0000	20.2684	-0.5973	41.5158	-28.5241	0.0000	105.6693	0.0000	140.4792	0.0000	0.0000	-8.2336	-97.2972	22.1839	0.0000	-5.6400	44.1300	0.0000	33.2553	2.8643	-0.5973	-5.2312	0.0000	25.1706	
3/31/2018 11:59:59 PM	All Bankers Banks in Texas	TXBKR	0.0000	0.0000	2.8353	-25.9649	0.0000	0.0000	-100.0000	-0.5665	-2.8608	1.8092	11.3789	0.0000	-4.6101	-24.0777	103.3687	-2.0988	0.0000	0.0000	0.0000	-0.2430	0.0964	-100.0000	-0.9683	41.9578	-1.4953	1.7804	0.0000	0.0000	-0.8293	0.0000	0.0000	-49.4566	-100.0000	-8.2796	-17.2597	0.0000	0.0000	0.0000	115.1568	0.0000	0.0000	-4.7663	-0.3036	0.0000	0.0000	0.0000	-4.0966	-9.3706	-10.0259	-7.2733	-22.9395	0.0000	0.0000	0.0000	0.0000	-0.3850	-2.0988	-27.7849	-5.4697	-100.0000	-0.4049	1.8730	-3.2347	-0.0241	-1.6437	4.5547	-2.7051	-10.4769	-17.7817	1.9770	-6.2754	1.9269	-21.4625	0.0000	97.8007	-62.0925	-38.9419	0.0000	0.0000	-4.4414	-0.6485	1.8811	0.0000	4.6774	-2.7051	8.2134	-0.4744	-5.2111	-30.0130	-8.6295	0.0000	1.5646	
