Reporting Period	Peer Group Description	Peer Group	UBPSE927	UBPSE899	UBPSE957	UBPSE965	UBPSE977	UBPSE999	UBPSD029	UBPSE916	UBPSE971	UBPSD011	UBPSD026	UBPSE923	UBPSE945	UBPSE905	UBPSE933	UBPSE919	UBPSD002	UBPSD024	UBPSE928	UBPSE954	UBPSE964	UBPSD012	UBPSE984	UBPSE972	UBPSE952	UBPSE932	UBPSE902	UBPSE911	UBPSE943	UBPSE967	UBPSE987	UBPSD025	UBPSE959	UBPSE918	UBPSE953	UBPSD015	UBPSE925	UBPSE903	UBPSE906	UBPSE948	UBPSE956	UBPSE998	UBPSD022	UBPSE966	UBPSE996	UBPSE909	UBPSE930	UBPSE962	UBPSE970	UBPSD010	UBPSE946	UBPSE900	UBPSE913	UBPSE949	UBPSD018	UBPSD001	UBPSE929	UBPSE985	UBPSD023	UBPSD027	UBPSD007	UBPSE920	UBPSE995	UBPSE969	UBPSD013	UBPSE951	UBPSE975	UBPSE931	UBPSE910	UBPSE912	UBPSD017	UBPSE934	UBPSE944	UBPSD006	UBPSE898	UBPSE958	UBPSE976	UBPSE993	UBPSE896	UBPSE907	UBPSE922	UBPSE982	UBPSE915	UBPSD016	UBPSE897	UBPSE955	UBPSE963	UBPSE997	UBPSD009	UBPSE921	UBPSE983	UBPSE908	UBPSE973	UBPSE961	UBPSE901	UBPSE947	UBPSE914	UBPSE926	UBPSE986	UBPSE968	UBPSE974	UBPSD008	UBPSD028	UBPSD030	UBPSE917	UBPSE980	UBPSE924	UBPSD014	UBPSE960	UBPSE950	UBPSE904	
			FID_OTH_REL_TRI	COLL_EQ_DOM_TOT_TC	EMP_BEN_DB_INC_GY	EMP_BEN_DC_NUM_GY	FID_FGN_TOT_MGD	INV_AGY_TOT_MGD	TRST_INC_TOT_GY	FID_FGN_INC_GY	EMP_BEN_INC_DB_FA	PER_TR_AGY_TOT_TRA	TRST_ASET_TOT_GY	FID_LOS_NET_TRI	CRP_TR_AGY_INC_TRI	COLL_SHT_MM_TOT_TC	RET_OTH_INC_TRI	FID_INC_NET_TRI	PER_TR_AGY_FA	TRST_ASET_NUM_TRA	INV_AGY_INC_GY	CUST_SAFE_INC_TRI	EMP_BEN_DB_TOT_TRA	RET_OTH_INC_FA	FID_OTH_NUM_TRA	EMP_BEN_INC_DC_FA	CUST_SAFE_INC_FA	RET_OTH_INC_GY	COLL_MUN_BD_TOT_GY	COLL_TAX_BD_TOT_TC	CRP_TR_AGY_INC_FA	EMP_BEN_DC_NUM_TRA	FID_OTH_TOT_TRA	TRST_ASET_TOT_FA	EMP_BEN_DB_NUM_GY	FID_INC_NET_GY	CUST_SAFE_INC_GY	RET_OTH_NUM_TRA	FID_OTH_INC_TRI	COLL_MUN_BD_TOT_TC	COLL_SPC_OT_TOT_GY	CRP_TR_AGY_NUM_TRA	CUST_SAFE_TOT_GY	INV_AGY_TOT_GY	TRST_ASET_NUM_GY	EMP_BEN_DC_NUM_MGD	INV_AGY_NUM_MGD	COLL_STK_BD_TOT_TC	PER_TR_AGY_INC_GY	EMP_BEN_DB_TOT_GY	EMP_BEN_DC_TOT_TRA	PER_TR_AGY_TOT_MGD	CRP_TR_AGY_NUM_GY	COLL_EQ_GBL_TOT_GY	EMP_BEN_DC_INC_TRI	CRP_TR_AGY_TOT_GY	RET_OTH_TOT_TRA	INV_AGY_TOT_TRA	INV_AGY_INC_TRI	FID_OTH_TOT_GY	TRST_ASET_NUM_MGD	TRST_ASET_TOT_MGD	PER_TR_AGY_NUM_MGD	FID_INTRA_CR_GY	INV_AGY_NUM_GY	EMP_BEN_DC_TOT_MGD	RET_OTH_NUM_GY	CRP_TR_AGY_TOT_TRA	FID_FGN_NUM_MGD	PER_TR_AGY_INC_TRI	COLL_TAX_BD_TOT_GY	EMP_BEN_DC_INC_GY	RET_OTH_TOT_MGD	TRST_INC_TOT_NINT	CRP_TR_AGY_INC_GY	PER_TR_AGY_NUM_GY	COLL_EQ_DOM_TOT_GY	EMP_BEN_DB_INC_TRI	FID_FGN_TOT_GY	INV_AGY_INC_FA	COLL_CMN_TR_TOT_GY	COLL_SPC_OT_TOT_TC	FID_LOS_NET_GY	FID_OTH_NUM_GY	FID_EXP_TRI	RET_OTH_TOT_GY	COLL_CMN_TR_TOT_TC	CUST_SAFE_NUM_GY	EMP_BEN_DB_TOT_MGD	INV_AGY_NUM_TRA	PER_TR_AGY_TOT_GY	FID_INTRA_CR_TRI	FID_OTH_NUM_MGD	COLL_STK_BD_TOT_GY	FID_FGN_INC_FA	EMP_BEN_DB_NUM_TRA	COLL_EQ_GBL_TOT_TC	CRP_TR_AGY_NUM_MGD	FID_EXP_GY	FID_OTH_REL_GY	FID_OTH_TOT_MGD	EMP_BEN_DC_TOT_GY	FID_FGN_NUM_GY	PER_TR_AGY_NUM_TRA	TRST_ASET_TOT_TRA	TRST_INC_TOT_TRI	FID_FGN_INC_TRI	FID_OTH_INC_FA	FID_OTH_INC_GY	RET_OTH_NUM_MGD	EMP_BEN_DB_NUM_MGD	CRP_TR_AGY_TOT_MGD	COLL_SHT_MM_TOT_GY	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8451	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
