Reporting Period	Peer Group Description	Peer Group	UBPSE188	UBPSE247	UBPSE256	UBPSE199	UBPSE269	UBPSE272	UBPSE263	UBPSE257	UBPSE248	UBPSE251	UBPSE242	UBPSE277	UBPSE237	UBPSE171	UBPSE266	UBPSE232	UBPSE250	UBPSE260	UBPSE245	UBPSE258	UBPSE238	UBPSE259	UBPSE246	UBPSE240	UBPSE253	UBPSE268	UBPSE270	UBPSE273	UBPSE235	UBPSE275	UBPSE225	UBPSE252	UBPSE243	UBPSE218	UBPSE276	UBPSE265	UBPSE236	UBPSE178	UBPSE230	UBPSE233	UBPSE244	UBPSE239	UBPSE262	UBPSE234	UBPSE254	UBPSE249	UBPSE241	UBPSE274	UBPSE261	UBPSE267	UBPSE231	UBPSE255	UBPSE271	UBPSE264	
			CMT_COMRE_OTH_GQ	CMT_CRCD_UNUS_GY	BAL_PRIN_REM_GY	CMT_COMRE_OTH_GY	LTR_CR_STBY_ASET	LN_REM_TOT_TA	CMT_CRCD_UNUS_TA	EXPO_REM_TOT_GY	CREC_UNUS_SECRE_GY	CMT_SEC_UNUS_GY	DERV_CR_GUAR_GQ	GRS_OFF_BAL_TA	LTR_CR_STBY_GQ	CMT_1T4_FAM_GQ	CMT_OTH_UNUS_TA	CREC_UNUS_SECRE_GQ	CMT_OTH_UNUS_GY	CMCN_OTH_GY	GRS_OFF_BAL_GQ	DERV_CR_GUAR_GY	LTR_CR_STBY_OTH_GQ	DERV_CR_BENE_GY	CMT_HM_EQ_UNUS_GY	BAL_PRIN_REM_GQ	LTR_CR_STBY_GY	CMT_SEC_UNUS_TA	LTR_CR_STBY_OTH_TA	EXPO_REM_TOT_TA	CMT_SEC_UNUS_GQ	DERV_CR_BENE_A	CMT_COMRE_OTH_TA	CMT_MAT_UNUS_1_GY	DERV_CR_BENE_GQ	CMT_1T4_FAM_TA	CMCN_OTH_TA	CREC_UNUS_NSCRE_TA	CMT_MAT_UNUS_1_GQ	CMT_1T4_FAM_GY	CMT_HM_EQ_UNUS_GQ	CREC_UNUS_NSCRE_GQ	CMCN_OTH_GQ	LTR_CR_GQ	CMT_HM_EQ_UNUS_TA	CMT_OTH_UNUS_GQ	LTR_CR_STBY_OTH_GY	CREC_UNUS_NSECRE_GY	EXPO_REM_TOT_GQ	DERV_CR_GUAR_A	GRS_OFF_BAL_GY	LNLS_UNUS_CMT_TA	CMT_CRCD_UNUS_GQ	LTR_CR_GY	LTR_CR_TA	CREC_UNUS_SECRE_TA	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	-21.6427	0.0000	0.0000	17.7299	0.0000	0.0000	0.0000	0.0000	-0.9768	0.0000	0.0000	2.9284	0.0000	-100.0000	1.9305	-22.9451	48.3779	0.0000	-11.5845	0.0000	0.0000	0.0000	26.8041	0.0000	-100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9666	27.2174	0.0000	0.0000	0.0000	0.0000	-11.5845	-100.0000	0.0000	0.0000	0.0000	0.0000	0.0312	-4.7305	0.0000	0.0000	0.0000	0.0000	26.1722	2.9284	0.0000	0.0000	0.0000	0.9666	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	-7.1993	-4.6432	0.0000	-10.7815	0.0000	0.0000	0.2102	0.0000	-0.5768	0.0000	0.0000	30.6219	0.0000	21.5423	22.8819	-3.5649	-3.5178	0.0000	3.9261	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.3297	-0.6732	0.0000	1.2000	0.0000	0.0000	-3.8149	150.6256	0.0000	0.0000	0.0000	0.0000	0.0000	7.8481	0.0000	0.0000	0.0000	0.0000	-2.8188	30.6219	-52.2404	0.0000	0.0000	7.5297	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	-32.7721	13.5310	0.0000	-57.9688	0.2200	0.0000	68.0439	0.0000	-38.5061	0.0000	0.0000	77.2841	0.0000	-13.0030	6.6090	-27.2976	-2.8504	0.0000	0.7995	0.0000	0.0000	0.0000	-100.0000	0.0000	54.8000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6121	-56.0687	0.0000	0.7989	0.0000	0.0000	-50.6516	836.6666	-100.0000	0.0000	0.0000	0.0000	0.0000	14.6266	0.0000	0.0000	0.0000	0.0000	9.0485	77.0641	1.1086	0.0000	0.0000	2.4111	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	33.2663	0.0000	0.0000	240.2738	0.0132	0.0000	0.0000	0.0000	240.2738	0.0000	0.0000	10.4024	0.0000	0.0000	5.1106	33.2663	-4.0311	0.0000	1.0469	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.2697	123.0598	0.0000	0.0000	0.0000	0.0000	21.6261	0.0000	0.0000	0.0000	0.0000	0.0000	0.0088	-19.2264	0.0000	0.0000	0.0000	0.0000	50.8455	10.3892	0.0000	0.0000	0.0000	5.2697	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	-16.4285	0.0000	0.0000	4.6422	0.0000	0.0000	0.0000	0.0000	1.5002	0.0000	0.0000	17.7177	0.0000	3.7086	10.2173	-14.6638	1.5934	0.0000	-10.8342	0.0000	0.0000	0.0000	0.0000	0.0000	-100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.7016	8.6707	0.0000	0.7987	0.0000	0.0000	-13.6898	-18.9240	0.0000	0.0000	0.0000	0.0000	0.0000	-7.7966	0.0000	0.0000	0.0000	0.0000	1.5239	17.7177	0.0000	0.0000	0.0000	7.5004	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	-40.3047	0.0000	0.0000	-75.9083	0.0226	0.0000	0.0000	0.0000	-75.9083	0.0000	0.0000	3.1072	0.0000	0.0000	2.4332	-40.3047	11.6504	0.0000	-15.4257	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6513	-36.8307	0.0000	0.0000	0.0000	0.0000	-15.5215	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-4.9586	0.0000	0.0000	0.0000	0.0000	-36.6605	3.0846	0.0000	0.0000	0.0000	0.6513	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	-5.9943	-0.6160	0.0000	23.7308	0.0061	0.0000	2.6722	0.0000	21.9620	0.0000	0.0000	29.9707	0.0000	-65.4696	19.0185	-6.2967	27.5913	0.0000	5.8533	0.0000	0.0000	0.0000	-24.9169	0.0000	-50.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.2304	32.5048	0.0000	0.0154	0.0000	0.0000	2.2653	-85.8437	18.9473	0.0000	0.0000	0.0000	0.0279	13.6902	0.0000	0.0000	0.0000	0.0000	22.8048	29.9645	-3.0190	0.0000	0.0000	8.2459	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	-50.4243	0.0000	0.0000	-55.9119	0.0000	0.0000	0.0000	0.0000	-34.2767	0.0000	0.0000	25.9296	0.0000	-24.5614	25.5541	-44.1176	29.2120	0.0000	10.4441	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2518	-17.9357	0.0000	0.1236	0.0000	0.0000	-15.7281	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.0517	0.0000	0.0000	0.0000	0.0000	27.4294	25.9296	0.0000	0.0000	0.0000	0.3754	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	30.7336	5.2256	0.0000	6.3525	0.0000	0.0000	3.5935	0.0000	-2.7015	0.0000	0.0000	23.6378	0.0000	-77.7961	10.1321	5.6733	4.3282	0.0000	9.0713	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.4312	7.8691	0.0000	0.4809	0.0000	0.0000	14.8132	-63.5524	0.0000	0.0000	0.0000	0.0000	0.0000	16.2056	0.0000	0.0000	0.0000	0.0000	1.3879	23.6378	0.5817	0.0000	0.0000	9.9121	
3/31/2018 11:59:59 PM	All Bankers Banks in Pennsylvania	PABKR	124.7298	0.0000	0.0000	-12.0340	0.1334	0.0000	0.0000	0.0000	-20.2710	0.0000	0.0000	11.0339	-7.9142	-22.9080	8.9235	97.2842	-5.8584	0.0000	12.3257	0.0000	0.0000	0.0000	0.0000	0.0000	-51.2865	0.0000	0.0000	0.0000	0.0000	0.0000	1.7147	-23.7242	0.0000	0.1343	0.0000	0.0000	34.6408	-63.6833	-35.0631	0.0000	0.0000	-43.9519	0.0553	4.6587	0.0000	0.0000	0.0000	0.0000	-8.6661	10.8279	0.0000	720.2702	0.0725	1.8490	
3/31/2018 11:59:59 PM	All Bankers Banks in Texas	TXBKR	8.1635	-7.0548	-19.0077	32.9727	0.2954	0.0548	32.2077	-19.0077	14.7461	0.0000	0.0000	46.9649	-0.5718	-80.3526	12.2909	3.3046	4.3135	0.0000	-6.1554	0.0000	0.0000	0.0000	0.0000	-0.9502	60.8236	0.0000	0.0202	0.0548	0.0000	0.0000	2.0938	30.6461	0.0000	0.0220	0.0000	0.0000	-2.3898	-91.7993	0.0000	0.0000	0.0000	0.0000	0.0000	-16.0041	0.0000	0.0000	-0.9502	0.0000	-3.2260	46.6146	-2.4358	0.0000	0.0000	2.1159	
3/31/2018 11:59:59 PM	All Bankers Banks in Virginia	VABKR	3.5840	0.0000	0.0000	97.2255	0.1014	0.0000	0.0000	0.0000	54.9929	0.0000	0.0000	19.4150	0.0000	19.1573	10.3112	5.4662	101.3731	0.0000	30.8814	0.0000	0.0000	0.0000	-50.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.7374	0.0000	0.0000	1.2236	0.0000	0.0000	28.8606	-34.1578	-52.3437	0.0000	0.0000	0.0000	0.0412	67.6781	0.0000	0.0000	0.0000	0.0000	75.1311	19.3136	0.0000	0.0000	0.0000	8.9611	
3/31/2018 11:59:59 PM	All Bankers Banks in Wisconsin	WIBKR	-12.3809	21.7037	0.0000	-10.2547	0.0014	1.3706	2.5512	0.0000	-10.2547	0.0000	0.0000	33.1475	0.0000	0.0000	22.9965	-12.3809	16.3507	0.0000	-0.8362	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.2276	20.9413	0.0000	0.0000	0.0000	0.0000	0.6362	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8417	0.0000	0.0000	0.0000	0.0000	9.8656	31.7754	7.7984	0.0000	0.0000	6.2276	
