Reporting Period	Peer Group Description	Peer Group	UBPSR029	UBPSE629	UBPSD486	UBPSE627	UBPSE638	UBPSD487	UBPSE630	UBPSR030	UBPSE641	UBPSE639	UBPSE631	UBPSR032	UBPSE628	UBPSE637	UBPSE636	UBPSR034	UBPSE626	UBPSE635	UBPSE025	UBPSD488	UBPSJ245	UBPSE633	UBPSE640	
			COM EQTY TIER1 CAP RATIO ADV APPRCH	RE_CML_OTH_ECAP	RBC_T1_TOT_AA	DBT_SBOR_ECAP_TOT	GDWIL_ECAP	RBC_T1_TOT_RWA	NI_ECAP_CYA	COM EQTY TIER1 CAP RAT AA EXIT PARLL	INTG_ASET_ECAP	INTG_CRCD_PUR_ECAP	DIVD_ECAP_CYA	TIER 1 CAP RATIO AA INST EXIT PRLLEL	DBT_SBOR_MTG_ECAP	RT_MTG_ECAP	ECAP_ASET_1GY	TOTAL CAP RAT AA INST EXIT PARALLEL	LNLS_ECAP_TOT	ECAP_TOT_1GY	NI_DIVD_ECAP_CYB	RBC_TOT_RWA	EQ_CAP_MIN_AST	DIVD_DEC_NI_OPER	INTG_OTH_ECAP	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	17.6427	332.1962	8.7151	0.0000	0.0000	17.6427	8.7256	0.0000	0.1968	0.0000	0.0000	0.0000	0.0000	0.0000	-5.2724	0.0000	4.8441	-2.9881	8.7256	18.8108	8.5235	0.0000	0.1968	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	16.4207	281.5148	11.5145	0.0000	0.0000	16.4207	5.5284	0.0000	0.0000	0.0000	4.4728	0.0000	0.0000	0.0000	-18.4989	0.0000	5.0007	3.3485	1.0555	17.6739	11.1566	80.9061	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	17.8753	163.6438	14.1545	0.0000	0.0000	17.8753	10.2013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.7437	0.0000	4.9238	7.1028	10.2013	19.1413	14.5856	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	40.8792	105.1337	10.8264	0.0000	0.0000	40.8792	3.3202	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-7.7861	0.0000	2.2902	0.2398	3.3202	41.8129	12.1835	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	18.8480	250.1591	14.6683	0.0000	0.3107	18.8480	1.6894	0.0000	0.3107	0.0000	0.0000	0.0000	0.0000	0.0000	-4.6227	0.0000	4.0728	-4.3604	1.6894	20.1058	14.9012	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	6.6124	564.5227	6.3394	0.0000	0.0000	11.5925	-24.8471	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-26.2001	0.0000	9.8579	-19.1891	-24.8471	12.6890	5.8745	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	12.9228	293.6667	11.0151	0.0000	0.0000	12.9228	5.4337	0.0000	0.4685	0.0000	0.0000	0.0000	0.0000	0.0000	10.3211	0.0000	6.3193	3.3852	5.4337	13.9433	11.9775	0.0000	0.4685	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	20.8351	69.4017	13.6943	0.0000	0.0000	20.8351	6.1346	0.0000	0.0000	0.0000	17.4980	0.0000	0.0000	0.0000	10.8390	0.0000	3.5597	0.0946	-11.3634	22.1048	13.6762	285.2348	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	18.0652	242.4429	12.1495	0.0000	0.0000	18.0652	4.0780	0.0000	0.0000	0.0000	9.5678	0.0000	0.0000	0.0000	-2.1807	0.0000	4.6997	2.5272	-5.4897	19.3155	12.7062	234.6153	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Pennsylvania	PABKR	23.1063	211.6831	12.1332	0.0000	0.0000	23.1063	8.8748	0.0000	1.8562	0.0000	0.0000	0.0000	0.0000	0.0000	-6.4310	0.0000	3.1837	25.7136	8.8748	24.2942	11.6997	0.0000	1.8562	
3/31/2018 11:59:59 PM	All Bankers Banks in Texas	TXBKR	17.6521	80.8666	9.9559	0.0000	0.7859	17.6521	6.9754	0.0000	9.9248	0.3725	4.6961	0.0000	0.0000	8.2071	10.9352	0.0000	3.9212	1.5646	2.2792	18.5766	10.2953	67.3249	0.5592	
3/31/2018 11:59:59 PM	All Bankers Banks in Virginia	VABKR	17.3182	290.6253	12.2118	0.0000	0.0000	17.3182	0.2309	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-19.6730	0.0000	4.3258	-2.7868	0.2309	18.5748	11.6971	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Wisconsin	WIBKR	15.9875	197.7142	10.6218	0.0000	0.0000	15.9875	8.9344	0.0000	4.4809	0.0000	0.0000	0.0000	0.0000	4.4809	-20.8926	0.0000	4.4977	6.2616	8.9344	17.2394	10.4209	0.0000	0.0000	
3/31/2018 11:59:59 PM	All banks in nation 	NATIONAL	16.9782	186.1631	11.2217	0.1420	1.5485	16.9998	9.3408	24.7405	2.4139	0.0410	2.8800	24.8802	0.1420	0.1726	-0.0620	25.9486	5.9655	3.8604	5.6202	18.0801	11.2800	27.5303	0.1630	
3/31/2018 11:59:59 PM	All credit card specialty banks	CRC	16.7734	2.1025	14.4510	3.4382	4.0061	16.9840	19.4882	11.8107	7.1391	2.1132	7.0473	11.8107	3.4382	0.0000	-3.2083	14.2909	5.2387	11.2347	12.4409	18.9110	16.0451	29.5350	1.0197	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Delaware	DECRC	14.9524	0.7629	13.1321	6.9717	9.9911	15.5318	18.7183	11.8107	14.0918	2.5483	13.0066	11.8107	6.9717	0.0000	-0.4590	14.2909	5.4027	10.2394	5.7116	18.2658	16.0223	60.8554	1.5523	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Florida	FLCRC	16.8460	0.0000	14.5677	0.0000	0.0000	16.8460	4.6653	0.0000	5.3897	5.3897	0.0000	0.0000	0.0000	0.0000	7.4532	0.0000	5.1951	3.2639	4.6653	18.1172	17.0697	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in South Dakota	SDCRC	26.0833	10.1155	22.3967	0.0000	0.0000	26.0833	5.2906	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.8291	0.0000	3.1665	7.9560	5.2906	27.3764	22.9063	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Utah	UTCRC	16.6305	2.4902	14.0503	0.0000	0.5404	16.6305	27.8843	0.0000	3.5282	1.7358	6.3734	0.0000	0.0000	0.0000	-18.1808	0.0000	5.5237	10.6626	21.5108	17.9633	14.6527	20.3660	1.2520	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Virginia	VACRC	15.2460	0.0000	13.2673	9.9335	1.9409	15.2460	18.0045	0.0000	2.6603	0.7194	0.0000	0.0000	9.9335	0.0000	20.9856	0.0000	5.5586	28.7537	18.0045	17.6111	13.8204	0.0000	0.0000	
3/31/2018 11:59:59 PM	All insured commercial banks	COM	16.1430	197.2610	10.9329	0.1485	1.6904	16.1665	9.8910	32.9220	2.5054	0.0403	3.2826	33.0617	0.1485	0.1396	-0.1420	33.9923	6.0380	3.8401	5.7582	17.2520	10.9938	31.0844	0.1757	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Alabama	ALCOM	18.7064	187.4116	12.0414	0.1375	0.7729	18.7112	8.4944	0.0000	1.1201	0.0030	2.2086	0.0000	0.1375	0.0453	-0.5502	0.0000	5.1337	1.7573	5.7756	19.7626	11.8126	23.8636	0.1585	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Alaska	AKCOM	16.0752	282.4571	11.1587	0.0000	2.0737	16.0752	9.3052	0.0000	6.0842	0.0000	4.6753	0.0000	0.0000	3.8461	-4.0208	0.0000	5.0324	-1.7745	4.6298	17.1849	10.9485	51.7186	0.1643	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Arizona	AZCOM	16.4251	346.5285	10.9035	0.4160	2.7871	16.7298	1.9509	0.0000	4.3994	0.0728	2.7945	0.0000	0.4160	1.1586	4.3937	0.0000	6.2823	12.7070	-0.8436	17.8543	10.8277	31.4153	0.3807	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Arkansas	ARCOM	16.6748	187.1804	11.4168	0.1020	2.7829	16.6879	9.3175	0.0000	3.5022	0.0227	2.8682	0.0000	0.1020	0.5066	-0.2977	0.0000	5.7218	4.1286	5.5925	17.7952	11.4903	29.2205	0.1552	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in California	CACOM	15.6426	322.0336	11.9758	0.0263	3.0889	15.7083	9.5914	50.8452	4.4510	0.0619	1.3544	50.8452	0.0263	0.4054	1.1849	51.0479	6.0138	8.4401	7.3687	16.8889	12.4258	12.4106	0.2607	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Colorado	COCOM	15.8491	250.2851	10.5340	0.3635	1.9510	15.8626	11.1571	0.0000	3.0751	0.0007	4.1539	0.0000	0.3635	0.1349	0.3044	0.0000	6.1316	6.9740	6.3145	16.9707	10.5952	29.3619	0.4441	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Connecticut	CTCOM	13.8059	256.5089	9.7782	0.4079	5.5158	13.8712	6.3919	0.0000	7.1158	0.4490	2.1801	0.0000	0.4079	0.6674	0.1402	0.0000	7.7062	5.1069	4.2117	14.9399	10.2012	24.2704	0.4833	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Delaware	DECOM	2704.9688	157.4555	30.5772	0.8711	10.1086	2704.9688	7.4797	0.0000	11.1071	0.0005	1.2532	0.0000	0.8711	0.4352	6.3628	0.0000	3.9695	7.6352	6.2265	2705.7934	33.4501	16.0396	0.5627	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in District of Columbia	DCCOM	16.2835	288.7096	9.6543	0.0000	0.0000	16.2835	3.6278	0.0000	0.0000	0.0000	0.5773	0.0000	0.0000	0.0000	-11.8485	0.0000	6.3940	-0.6138	3.0504	17.4705	9.3672	13.6191	0.0000	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Florida	FLCOM	15.4368	310.8930	10.3278	0.1148	0.2302	15.5018	8.5360	0.0000	0.7839	0.0004	1.6943	0.0000	0.1148	0.0600	-1.5559	0.0000	6.7885	4.4982	5.8786	16.5933	10.2628	18.5976	0.0587	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Georgia	GACOM	16.3134	274.0420	10.8524	0.1416	0.5626	16.4120	10.4947	0.0000	1.1947	0.0008	3.4440	0.0000	0.1416	0.0969	0.3788	0.0000	6.1489	5.0239	6.1587	17.5414	10.6796	33.6017	0.0347	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Guam	GUCOM	28.6052	220.6306	10.6789	0.0000	0.2858	28.8070	7.0972	0.0000	2.4782	0.0000	1.5270	0.0000	0.0000	2.1924	-0.5662	0.0000	5.5830	2.2625	5.5701	30.0707	10.2541	14.2718	0.0000	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Hawaii	HICOM	15.4308	168.2219	9.7569	0.0000	5.8569	15.4308	9.0981	0.0000	7.1572	0.0000	4.7781	0.0000	0.0000	1.2660	-1.1309	0.0000	6.7582	1.8444	4.3200	16.5189	10.2164	38.9277	0.0341	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Idaho	IDCOM	14.7160	275.0873	10.6942	0.0000	0.1872	14.7160	9.1581	0.0000	0.4109	0.0399	3.0860	0.0000	0.0000	0.0392	-5.6241	0.0000	6.0300	4.4782	6.0720	15.8593	10.9232	27.1232	0.1445	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Illinois	ILCOM	16.4503	154.9009	10.9230	0.1387	2.0476	16.4634	8.8305	13.5819	3.0567	0.0127	3.0045	13.5819	0.1387	0.3199	-0.2350	15.1849	5.7899	2.4463	5.0853	17.4744	11.0168	32.7348	0.2180	
