Reporting Period	Peer Group Description	Peer Group	UBPSE690	UBPSE669	UBPSE698	UBPSE673	UBPSE683	UBPSE681	UBPSE666	UBPSE695	UBPSE700	UBPSE708	UBPSE680	UBPSF901	UBPSE682	UBPSE667	UBPSE694	UBPSJA33	UBPSE685	UBPSE679	UBPSHR62	UBPSE702	UBPSE697	UBPSE684	UBPSHR60	UBPSE674	UBPSJ247	UBPSE665	UBPSE696	UBPSE701	UBPSE707	UBPSE671	UBPSE687	UBPSE677	UBPSHP01	UBPSF900	UBPSE668	UBPSE699	UBPSE672	UBPSE686	UBPSE704	UBPSE692	UBPSE678	UBPSE703	UBPSE675	UBPSE689	UBPSE710	UBPSE691	UBPSE709	UBPSE693	UBPSE706	UBPSE670	UBPSE688	UBPSE676	
			INC_INST_LN_YLD	OVHD_EXP_1Q_AA	INT_INC_SEC_YLD	INC_PTAX_NT_OP_AA	LNLS_ALWNC_CHGOFF	LNLS_LOSS_NET_A	INT_EXP_1Q_AA	INC_SEC_BOOK_YLD	FFS_INC_YLD	OTH_BRWD_INT_YLD	INT_INC_NET_1Q_EA	LN_REO_1Q_YLD	LNLS_LOSS_NET_EC	INT_INC_NET_1Q_AA	INC_SEC_TE_YLD	Unrealized holding gains (losses) on	INC_NET_LESS_CD_EQ	INT_EXP_1Q_EA	TM DEP GT $250K 1 QTR ANN COST	TRAN_ACCT_1Q_YLD	INT_INC_MTGBK_YLD	DIV_CASH_NET_INC	TIME DEP ONE QTR ANN COST	INC_NET_OP_BE_AA	INC_NET_NON_1Q_AA	INT_INC_1Q_AA	INT_INC_NMBS_YLD	EXP_TOT_DEP_YLD	EXP_FFP_YLD	INC_PTAX_OP_1Q_AA	INC_LN_DOM_TOT_YLD	INC_NET_1Q_AA	OTH INT EXP CR QTR YLD	LN_RE14_1Q_YLD	INC_NONINT_1Q_AA	INC_IB_BAL_YLD	SEC_GL_1Q_AA	INC_LNLS_TOT_YLD	EXP_CD_GT100_YLD	LN_AG_INC_YLD	INT_INC_1Q_EA	EXP_NTRAN_OSD_YLD	INC_NET_OP_1Q_AA	LN_CI_INC_YLD	INT_EXP_TOT_RTE	LN_CRCD_INC_YLD	NTS_SBOR_DEBEN_YLD	LN_AG_INC_1Q_31_FG	DEP_FGN_YLD_ALL	LNLS_PROV_1Q_AA	LN_RE_INC_YLD	INC_NET_SUBS_1Q_AA	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	0.0000	3.4695	0.0000	1.0037	-234.4500	-0.0061	0.6169	2.2346	2.1735	1.3200	2.4312	4.5011	-410.0000	2.1426	2.2346	0.0000	8.7885	0.7000	1.4976	1.4435	2.2346	0.0000	1.3595	0.7212	0.0000	2.7595	0.0000	1.5736	1.4391	1.0037	4.4679	0.7212	0.0000	3.3505	2.3306	1.7072	0.0000	4.4679	0.0000	0.0000	3.1313	1.6575	0.7236	4.8416	1.5248	0.0000	0.0000	0.0000	0.0000	0.0000	4.4945	0.7212	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	0.0000	4.2448	2.1383	0.8381	0.9606	1.8641	0.6963	2.0305	2.0170	0.0000	3.1660	5.2460	1.2063	2.9303	2.0305	0.0000	1.0561	0.7523	0.0000	0.0000	2.2053	80.9061	1.5604	0.6442	0.0000	3.6267	1.5934	1.5604	1.3319	0.8381	5.1272	0.6442	0.0000	4.6222	2.6551	1.5451	0.0000	5.1323	0.0000	5.0771	3.9184	0.0000	0.0354	4.5560	1.5164	1.6877	0.0000	0.0000	0.0000	0.5024	5.2314	0.6442	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	0.0000	5.2993	0.0000	1.8701	5.1511	0.4261	0.6965	1.7150	1.7991	0.0000	3.4678	4.8348	7.0970	3.1156	1.7150	0.0000	10.0744	0.7753	0.0000	0.0000	0.0000	0.0000	1.7169	1.4240	0.0000	3.8122	1.7186	1.1946	0.0000	1.8701	5.1132	1.4240	2.6666	4.3506	4.2853	0.0967	0.0000	5.1345	0.0000	0.0000	4.2432	0.5786	1.3601	3.7981	1.2344	7.8081	0.0000	0.0000	0.0000	0.2314	4.7828	1.4240	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	0.0000	2.1007	0.0000	0.4820	-78.7500	-0.0130	0.9263	1.6177	0.0000	0.0000	1.2261	4.7387	-149.0000	1.2137	1.6177	0.0000	3.3065	0.9358	0.0000	1.2017	0.0000	0.0000	0.0000	0.3579	0.0000	2.1400	1.6177	1.2017	1.8151	0.4820	4.7084	0.3579	0.0000	4.5669	1.3690	1.3121	0.0000	4.7672	0.0000	0.0000	2.1620	0.0000	0.3611	5.3118	1.3554	0.0000	0.0000	0.0000	0.0000	0.0000	4.7178	0.3579	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	0.0000	3.9964	2.8423	0.3511	-132.5865	-0.0169	0.6219	2.0635	1.8256	3.2484	2.9414	4.7924	-35.3846	2.7402	2.1648	0.0000	1.6886	0.6676	1.4545	0.0000	1.9885	0.0000	1.8292	0.2572	0.0000	3.3621	1.7641	1.8292	1.5099	0.3511	4.6012	0.2572	0.0000	4.4251	1.6495	0.6603	0.0000	4.6012	0.0000	5.0143	3.6090	0.0000	0.3103	6.0116	1.5876	0.0000	0.0000	0.0000	0.0000	0.0421	4.7801	0.2572	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	5.3932	3.4542	5.7142	-1.5501	0.0000	0.0000	1.4647	2.2489	0.0000	1.2000	1.8838	4.3831	0.0000	1.8858	2.2489	0.0000	-26.1384	1.4631	1.4381	0.0000	2.1040	0.0000	1.6202	-1.5501	0.0000	3.3505	0.0000	1.6202	1.5317	-1.5501	4.3043	-1.5501	0.0000	4.0978	0.0183	1.5919	0.0000	4.3043	0.0000	0.0000	3.3470	0.0000	-1.5501	5.6475	1.5977	0.0000	0.0000	0.0000	0.0000	0.0000	4.2964	-1.5501	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	6.4657	3.6347	1.3333	0.8272	146.4807	0.0084	0.5690	1.8099	1.9771	1.3394	3.1094	4.3452	187.6153	2.9345	1.8115	0.0000	5.3992	0.6029	0.0000	0.0000	0.7024	0.0000	1.4952	0.5968	0.0000	3.5036	1.9184	1.4952	1.4270	0.8272	4.4289	0.5968	0.0000	4.7867	1.8358	0.8003	0.0000	4.4610	0.0000	5.6129	3.7124	0.0000	0.8994	4.8425	1.4805	0.0000	0.0000	0.0000	0.0000	0.3084	4.3559	0.5968	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	0.0000	3.4958	2.5248	1.1724	-64.4875	-0.0567	0.1712	2.3203	1.9577	0.0000	2.8447	4.6252	-41.3000	2.7632	2.3203	0.0000	-11.6024	0.1763	1.3953	0.0000	2.2336	285.2348	1.5653	0.8435	0.0000	2.9344	2.1758	1.5638	1.6832	1.1724	4.3699	0.8435	0.0000	4.7960	1.9050	0.7729	0.0000	4.3767	0.0000	0.0000	3.0210	0.0000	0.8718	4.1826	1.6004	0.0000	0.0000	0.0000	0.0000	0.0000	4.6529	0.8435	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	6.6666	5.1494	0.0000	0.7483	0.0000	0.0000	0.8922	1.4554	2.2158	0.0000	2.8190	4.9458	0.0000	2.6357	1.4554	0.0000	-5.5278	0.9543	0.0000	0.0000	2.7210	234.6153	1.6215	0.4989	0.0000	3.5279	1.3315	1.6215	1.6100	0.7483	4.8960	0.4989	0.0000	5.5009	3.2620	1.7122	0.0000	4.8960	0.0000	5.2855	3.7734	0.0000	0.4989	4.4594	2.9461	10.9820	0.0000	0.0000	0.0000	0.0000	4.9667	0.4989	
3/31/2018 11:59:59 PM	All Bankers Banks in Pennsylvania	PABKR	0.0000	3.2526	2.7435	1.3932	0.0000	0.0000	0.6265	2.1161	1.6011	1.9587	2.3167	4.7261	0.0000	2.0881	2.1698	0.0000	8.8748	0.6951	1.8548	0.0000	2.0469	0.0000	1.7491	1.1308	0.0524	2.7147	1.8477	1.7257	1.4996	1.3932	4.8208	1.0784	0.0000	4.7784	2.5577	1.1075	0.0000	4.8328	0.0000	0.0000	3.0119	1.4170	1.1308	4.4800	1.7198	0.0000	0.0000	0.0000	0.0000	0.0000	4.7278	1.0784	
3/31/2018 11:59:59 PM	All Bankers Banks in Texas	TXBKR	5.3215	4.7409	0.0000	0.8973	5.7491	0.2257	1.1757	2.4689	2.0140	1.4080	1.8082	4.9541	10.1649	1.7162	2.4689	0.0000	2.2887	1.2388	1.2698	1.5528	2.4689	67.3249	2.5151	0.7064	0.0000	2.8919	0.0000	1.7142	1.3621	0.8973	4.4248	0.7064	0.0000	4.2974	4.0124	1.6010	0.0000	4.5975	0.0000	13.7931	3.0470	1.5994	0.7064	6.8930	1.6842	7.0142	0.0000	0.0000	0.0000	0.0903	4.8740	0.7064	
3/31/2018 11:59:59 PM	All Bankers Banks in Virginia	VABKR	5.1756	3.9702	0.0000	-0.0223	-7.8214	-0.2860	0.7106	1.5406	1.6494	0.0000	2.4272	4.3867	1.1428	2.2858	1.5406	0.0000	0.2311	0.7546	0.0000	0.0000	2.2064	0.0000	1.4804	0.0279	0.0000	2.9965	1.2483	1.4818	1.5869	-0.0223	4.3620	0.0279	1.4800	4.7314	1.5052	1.5716	0.0000	4.3620	0.0000	0.0000	3.1818	1.4837	0.0279	3.0337	1.4878	0.0000	0.0000	0.0000	0.0000	-0.1566	4.4157	0.0279	
3/31/2018 11:59:59 PM	All Bankers Banks in Wisconsin	WIBKR	0.0000	3.5490	1.4016	1.2258	-523.3333	-0.0039	0.6752	1.4882	2.1488	0.0000	2.1241	4.2125	-688.6666	2.0273	1.6356	0.0000	8.8727	0.7074	9.2000	0.2560	1.7392	0.0000	1.7892	0.9236	0.0000	2.7025	1.4827	1.2641	1.4086	1.2258	4.2326	0.9236	4.0266	3.7706	2.7774	0.5972	0.0000	4.4399	0.0000	4.4359	2.8316	0.0923	0.9553	4.2560	1.3846	4.2211	0.0000	0.0000	0.0000	0.0299	4.1735	0.9236	
3/31/2018 11:59:59 PM	All banks in nation 	NATIONAL	6.5115	2.8413	2.5938	1.2510	-9.3101	0.0444	0.4817	2.2241	1.3060	1.7326	3.7111	5.0102	-11.6218	3.4871	2.3803	-0.0007	5.5871	0.5117	1.2136	0.2711	2.1971	26.2307	1.0606	1.0459	0.0002	3.9808	1.8129	0.6230	0.8472	1.2470	5.1184	1.0456	1.8064	5.0345	0.6019	1.4023	0.0003	5.1250	0.0000	4.9132	4.2361	0.3459	1.0958	5.5096	0.6786	8.9542	5.0821	4.4253	0.7042	0.0747	4.9821	0.9738	
3/31/2018 11:59:59 PM	All credit card specialty banks	CRC	11.7655	7.5237	1.9013	3.5788	1.0535	5.2534	1.6135	2.0850	1.0510	2.9930	12.8571	-2.1012	1.9951	12.5956	2.0853	-0.0020	12.1512	1.6611	1.5160	0.9258	2.4873	29.5350	1.9818	2.7096	0.0000	14.2092	1.3807	1.8837	1.1762	3.5798	16.9818	2.7095	10.1903	28.5109	3.0537	1.4267	-0.0009	16.9911	0.0000	6.6075	14.5182	1.2794	2.8638	9.3554	2.0265	17.4923	4.7112	16.8607	2.3718	4.5444	10.9352	2.7095	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Delaware	DECRC	13.8246	5.5052	1.4771	3.3006	1.0111	4.3123	1.5466	2.1441	0.7103	2.2151	11.8641	4.5831	2.0066	11.2636	2.1441	0.0008	5.6503	1.6288	1.8560	1.4695	2.5782	60.8554	1.7783	2.5462	0.0000	12.8103	1.1938	1.7334	1.6116	3.3006	15.7224	2.5462	0.0000	6.2867	1.0033	1.4968	0.0000	15.7224	0.0000	8.7817	13.4929	1.1555	2.5757	8.9499	1.9437	15.8863	4.3505	0.0000	0.0000	3.4615	5.4349	2.5462	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Florida	FLCRC	0.0000	10.2463	2.2166	0.9645	1.0108	2.8396	1.2971	2.2065	0.0000	0.0000	7.0459	0.0000	1.4227	6.8120	2.2065	0.0000	4.6393	1.3416	1.1197	0.0000	2.1909	0.0000	1.5772	0.7083	0.0000	8.1091	0.0000	1.5772	0.0000	0.9645	9.3683	0.7083	10.1903	0.0000	6.8378	1.6336	0.0000	9.3683	0.0000	0.0000	8.3876	0.0000	0.7551	7.3931	1.7015	9.7703	0.0000	0.0000	0.0000	2.4390	0.0000	0.7083	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in South Dakota	SDCRC	6.5542	14.0663	1.3452	1.6982	1.1145	4.7396	2.1662	1.3044	1.1904	7.9569	17.3487	11.7544	1.2440	15.9352	1.3044	0.0000	5.2565	2.3583	1.4193	0.7814	0.0000	0.0000	2.7186	1.1772	0.0000	18.1015	1.3032	2.6295	0.0000	1.6982	23.1481	1.1772	0.0000	7.8947	2.6777	1.8887	0.0000	23.1449	0.0000	4.4332	19.7071	0.9885	0.3708	4.2848	2.8984	23.8235	0.0000	0.0000	0.0000	2.8484	11.7124	1.1772	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Utah	UTCRC	11.4434	7.5203	2.2471	5.1156	1.0923	6.9249	1.4958	2.1732	1.5929	2.6170	14.5464	-22.6415	2.3687	14.9156	2.1741	-0.0040	20.8831	1.4708	0.9393	0.7025	2.5250	20.3660	1.8464	3.8352	0.0000	16.4115	1.5137	1.7284	0.0000	5.1217	18.9079	3.8352	0.0000	71.3513	4.3042	1.4744	-0.0061	18.9079	0.0000	0.0000	16.0173	1.5225	4.3465	11.2857	1.8243	19.7454	0.0000	0.0000	2.3718	6.5748	21.1586	3.8352	
