Reporting Period	Peer Group Description	Peer Group	UBPSE543	UBPSE408	UBPSE411	UBPSE023	UBPSFB70	UBPSE388	UBPSE405	UBPSE398	UBPSE586	UBPSFB69	UBPSE019	UBPSE406	UBPSE397	UBPSE587	UBPSE021	UBPSE395	UBPSFB64	UBPSE006	UBPSE022	UBPSE404	UBPSE391	UBPSE399	UBPSFB66	UBPSE401	UBPSE409	UBPSE020	UBPSE594	UBPSE400	UBPSE402	UBPSE413	UBPSFB61	UBPSFB60	UBPSE390	UBPSE412	UBPSE407	UBPSE410	
			ANLR_CNSTRC_1T4FAM	LN_CI_LOS_AVG	ANLR_LN_CRCD	LNLS_LOS_TOT	NET LOSS % OTHR LS	LNLS_RCOV_PREV	ANLR_NFARM_NRSD	ANLR_LN_RE_CML	ANLR_CNSTRC_LAND	NET LOSS % LS IND	NET_LNLS_AVG_CYB	ANLR_LN_RE_FGN	LN_RE_LOS_AVG	ANLR_NFRM_OWNR_OCC	LNLS_LOS_NET	LNLS_ALWNC_NACCR	NET LOSS % AUTO LN	PROV_LNLS_ATTR_AA	LNLS_LOS_NHFS	ANLR_LN_FAM_MULT	LNLS_RCOV_CYA_LNLS	ANLR_LN_CNSTRC_DV	NET LOSS % FIN INST LN	ANLR_FAM_LN_RE	ANLR_LS_FIN	NOI_LNLS_CHGFF_CYB	ANLR_NFRM_NRES_OTH	ANLR_LN_FMLND	ANLR_FAM_LN_LNE	ANLR_LN_FDN_GOVT	NET LOSS % 1-4 FAM JR LIEN LN	NET LOSS % 1-4 FAM 1ST LIEN LN	LNLS_GRS_LOS_AVG	LNLS_OTH_LOS_AVG	ANLR_LN_AG	LN_LOS_IND_AVG	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	0.0000	0.0000	0.0000	1.4232	0.0000	0.0000	-0.0095	0.0000	0.0000	0.0000	-0.0061	0.0000	-0.0073	0.0000	0.0000	8.6036	0.0000	0.0000	1.4232	0.0000	0.0061	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0103	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	0.0000	13.6170	0.0000	1.7997	0.0000	5.0314	0.0000	0.0000	-0.0107	0.0000	1.8641	0.0000	-0.0027	0.0000	0.9606	1.1869	0.0000	0.5024	1.7997	0.0000	0.0034	-0.0102	0.0000	0.0000	0.0000	1.2063	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8675	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	0.0000	0.8793	1.7241	2.1394	0.0000	7.7496	0.0000	0.0000	0.0000	0.0000	0.4261	0.0000	0.0000	0.0000	5.1511	0.0000	0.0000	0.2314	2.1394	0.0000	0.0413	0.0000	0.0000	0.0000	0.0000	7.0970	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4675	0.0000	0.0000	1.7229	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	0.0000	0.0000	0.0000	0.9874	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0130	0.0000	-0.0191	0.0000	0.0000	0.0000	0.0000	0.0000	0.9874	0.0000	0.0130	-0.1160	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	0.0000	-0.0084	0.0000	2.2893	0.0000	3.1353	-0.0144	0.0000	-0.0038	0.0000	-0.0169	0.0000	-0.0112	-0.0730	0.0000	1.2075	0.0000	0.0421	2.2893	0.0000	0.0169	-0.0036	0.0000	-0.0580	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0594	0.0000	-0.0399	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	0.0000	0.0000	0.0000	1.0152	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6787	0.0000	0.0000	1.0152	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	0.0000	0.0603	0.0000	1.2285	0.0000	1.5209	0.0000	0.0000	0.0000	0.0000	0.0084	0.0000	0.0000	0.0000	146.4807	7.2820	0.0000	0.3084	1.2285	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	187.6153	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0090	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	0.0000	0.0000	0.0000	3.6680	0.0000	0.0000	-0.3298	0.0000	0.0000	0.0000	-0.0567	0.0000	-0.1786	-1.3890	0.0000	0.0000	0.0000	0.0000	3.6680	0.0000	0.0567	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	0.0000	0.0000	0.0000	1.4833	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4833	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Pennsylvania	PABKR	0.0000	0.0000	0.0000	2.4859	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.6497	0.0000	0.0000	2.4859	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Texas	TXBKR	0.0000	1.1207	1.4551	1.2966	0.0000	12.0824	0.0000	0.0000	0.0000	0.0000	0.2257	0.0000	0.0000	0.0000	5.7491	4.7997	0.0000	0.0903	1.3074	0.0000	0.0411	0.0000	0.0000	0.0000	0.0000	10.1649	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2669	0.0000	0.0000	1.4384	
3/31/2018 11:59:59 PM	All Bankers Banks in Virginia	VABKR	0.0000	0.0000	0.0000	2.2872	0.0000	273.1707	-0.0206	0.0000	0.0000	0.0000	-0.2860	0.0000	-0.0130	0.0000	0.0000	3.0154	0.0000	-0.1566	2.2872	0.0000	0.2860	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0306	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-2.2589	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Wisconsin	WIBKR	0.0000	0.0000	-0.3015	1.9677	0.0000	75.0000	0.0000	0.0000	0.0000	0.0000	-0.0039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0299	2.0070	0.0000	0.0039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.3015	
3/31/2018 11:59:59 PM	All banks in nation 	NATIONAL	-0.0658	0.0309	1.0455	1.2569	0.0237	36.3699	-0.0009	-0.3063	-0.0494	0.1857	0.0444	0.0000	0.0052	-0.0011	36.4816	3.9714	0.0795	0.0748	1.2629	0.0463	0.0362	-0.0420	0.0000	0.0075	0.0046	61.2448	-0.0115	-0.0245	-0.0016	0.0000	-0.2049	0.0069	0.0783	0.2030	-0.0001	0.2650	
3/31/2018 11:59:59 PM	All credit card specialty banks	CRC	0.0000	2.9296	5.5759	5.6707	0.0000	18.5826	0.0000	0.0000	0.0000	0.0000	5.2534	0.0000	0.0301	0.0000	1.0535	624.6383	0.0000	4.5444	5.7713	0.0000	0.9162	0.0000	0.0000	0.0401	0.0000	1.9951	0.0000	0.0000	8.8967	0.0000	0.0768	0.0562	6.1696	0.3764	0.0000	5.3621	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Delaware	DECRC	0.0000	4.0957	4.3627	4.3407	0.0000	14.4727	0.0000	0.0000	0.0000	0.0000	4.3123	0.0000	0.0603	0.0000	1.0111	16.5871	0.0000	3.4615	4.4221	0.0000	0.5791	0.0000	0.0000	0.1205	0.0000	2.0066	0.0000	0.0000	8.8967	0.0000	0.0768	0.1688	4.8914	0.9430	0.0000	4.3076	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Florida	FLCRC	0.0000	2.2395	2.9617	2.9584	0.0000	30.2668	0.0000	0.0000	0.0000	0.0000	2.8396	0.0000	0.0000	0.0000	1.0108	3926.0000	0.0000	2.4390	2.9584	0.0000	0.9826	0.0000	0.0000	0.0000	0.0000	1.4227	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.8222	0.0000	0.0000	2.9617	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in South Dakota	SDCRC	0.0000	0.0000	4.9621	5.4319	0.0000	19.7449	0.0000	0.0000	0.0000	0.0000	4.7396	0.0000	0.0000	0.0000	1.1145	5.9109	0.0000	2.8484	5.4319	0.0000	1.0961	0.0000	0.0000	0.0000	0.0000	1.2440	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.8358	0.2046	0.0000	4.9416	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Utah	UTCRC	0.0000	2.8985	7.4706	7.7576	0.0000	16.8424	0.0000	0.0000	0.0000	0.0000	6.9249	0.0000	0.0000	0.0000	1.0923	357.2197	0.0000	6.5748	7.9531	0.0000	0.9815	0.0000	0.0000	0.0000	0.0000	2.3687	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.9065	0.1813	0.0000	6.9429	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Virginia	VACRC	0.0000	3.1755	6.0777	5.5938	0.0000	29.1367	0.0000	0.0000	0.0000	0.0000	5.2592	0.0000	0.0000	0.0000	1.0489	227.7808	0.0000	4.5563	5.5938	0.0000	1.7570	0.0000	0.0000	0.0000	0.0000	1.7785	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.0163	0.0000	0.0000	6.0774	
3/31/2018 11:59:59 PM	All insured commercial banks	COM	-0.0622	0.0295	0.9476	1.2955	0.0212	37.8703	-0.0010	-0.3314	-0.0536	0.2132	0.0442	0.0000	0.0040	-0.0013	36.3254	4.2893	0.0839	0.0783	1.3009	0.0367	0.0382	-0.0446	0.0000	0.0060	0.0041	62.1783	-0.0113	-0.0270	-0.0017	0.0000	-0.2123	0.0057	0.0804	0.2004	-0.0002	0.2597	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Alabama	ALCOM	0.0181	0.1945	1.4609	1.3160	-0.4404	34.4552	0.0100	0.0000	-0.0387	0.0000	0.1068	0.0000	0.0067	0.0079	19.9808	4.4971	0.3172	0.0982	1.3168	-0.0024	0.0695	-0.0249	0.0000	0.0198	0.4665	32.9407	-0.0003	-0.0532	0.0038	0.0000	-0.0195	0.0214	0.1684	0.2048	0.1065	0.5020	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Alaska	AKCOM	-0.0168	0.3092	-1.4354	1.4917	0.0000	43.4965	-0.0005	0.0000	-0.5729	0.0000	0.2027	0.0000	0.0715	-0.0013	4.3228	2.1709	-0.5538	0.1355	1.5249	0.0000	0.0537	-0.1944	0.0000	0.3447	0.0000	4.7145	0.0000	0.0000	0.0000	0.0000	-0.1464	0.4909	0.2564	0.0000	0.0000	1.3877	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Arizona	AZCOM	-1.0189	0.4916	16.3809	1.3385	0.0000	25.7636	-0.0067	-0.0242	-0.0169	0.0000	0.0247	0.0000	-0.0239	-0.0019	22.1065	4.1783	0.6688	0.0623	1.3535	0.0000	0.0335	-0.0513	0.0000	-0.0380	0.0000	-8.5005	-0.0109	0.0000	-0.0153	0.0000	-0.1519	-0.0364	0.0583	0.3186	0.0000	0.1881	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Arkansas	ARCOM	-0.0168	0.0524	1.3475	1.3830	0.0000	24.5446	0.0172	-40.1663	-0.0027	0.0000	0.0841	0.0000	0.0298	0.0229	35.9275	2.5217	0.0727	0.1045	1.4124	0.0169	0.0397	-0.0039	0.0000	0.0388	0.0000	46.1717	0.0005	0.0002	0.0042	0.0000	0.0073	0.0291	0.1207	0.5733	0.0651	0.3263	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in California	CACOM	-0.0192	0.0301	1.9180	1.3795	0.1078	97.5823	-0.0008	-0.0009	-0.0399	0.2954	0.0229	0.0000	-0.0099	-0.0019	34.1054	8.3190	0.1578	0.0699	1.3921	-0.0307	0.0405	-0.0545	0.0000	-0.0771	0.1882	68.0948	-0.0049	-0.0035	-0.0856	0.0000	-0.2405	-0.0185	0.0655	0.0397	-0.0037	0.4988	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Colorado	COCOM	-0.0084	-0.0541	3.6251	1.3859	0.0016	68.2124	-0.0349	-0.5016	-0.0553	0.0000	0.0089	0.0000	-0.0092	-0.0275	46.5761	10.8650	0.1091	0.0965	1.3885	-0.0109	0.0336	-0.0478	0.0000	-0.0068	0.0000	87.9809	-0.0542	-0.0006	-0.0300	0.0000	-0.3392	-0.0006	0.0419	0.0220	0.0166	0.3258	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Connecticut	CTCOM	-0.0002	0.0052	0.0000	0.9666	0.0732	20.4527	0.0015	0.0000	-0.0003	0.0000	0.0085	0.0000	0.0058	0.0012	61.8878	1.9594	-0.6381	0.0783	0.9978	0.0012	0.0217	-0.0003	0.0000	0.0061	0.0742	69.9606	0.0015	0.0000	-0.0435	0.0000	0.0469	0.0084	0.0302	0.0825	0.0000	0.3747	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Delaware	DECOM	4.7439	0.1705	7.2440	1.3931	-0.0435	44.1911	-0.0029	0.9623	-0.0092	0.0000	0.4423	0.0000	0.0185	0.0156	7.5503	32.7933	0.1311	0.1941	1.4046	-0.0021	0.1315	-0.0018	0.0000	0.0300	-0.0437	56.8518	-0.0162	0.0032	0.0911	0.0000	-0.1120	0.0236	0.5738	1.1846	-0.0247	5.3296	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in District of Columbia	DCCOM	0.0000	-0.7296	1.2793	1.3756	0.0000	2.9442	-0.0055	0.0000	0.0000	0.0000	-0.0428	0.0000	0.0061	0.0000	19.3109	2.7334	0.0000	0.0534	1.3765	0.0000	0.0677	0.0000	0.0000	0.0230	0.0000	14.9756	-0.0147	0.0000	0.0000	0.0000	0.0000	0.0237	0.0249	9.8014	0.0000	0.2661	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Florida	FLCOM	-0.0162	-0.0016	0.9575	1.2611	0.0000	42.1167	-0.0120	0.0000	-0.0930	0.0000	0.0068	0.0000	-0.0140	-0.0123	95.0880	4.4958	0.0294	0.0493	1.2665	-0.0269	0.0320	-0.0725	0.0000	-0.0055	0.0000	174.7497	-0.0340	0.0006	-0.0675	0.0000	-0.4434	-0.0062	0.0433	1.3476	0.0000	0.1527	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Georgia	GACOM	-0.0307	0.0546	0.4518	1.4534	0.3290	48.8358	-0.0094	0.0000	-0.3955	0.0000	0.0338	0.0000	-0.0111	-0.0085	27.5627	3.0576	0.1321	0.0822	1.4599	-0.0013	0.0541	-0.2287	0.0000	0.0044	0.1525	47.0746	-0.0038	-0.0057	-0.0061	0.0000	-0.0646	0.0034	0.0912	0.5167	0.0144	0.3999	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Guam	GUCOM	0.0000	-0.2354	7.1265	2.3115	0.0000	183.9852	0.0326	0.0000	-0.0260	0.0000	0.1308	0.0000	0.1248	0.0876	2.3008	0.9864	1.6770	0.2777	2.3115	0.1366	0.4457	-0.0249	0.0000	0.1563	0.0000	3.6967	0.0000	0.0000	0.0000	0.0000	19.1721	-0.1175	0.5766	0.0000	0.0000	2.2500	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Hawaii	HICOM	-4.3061	0.0846	4.6472	1.2051	0.0000	231.9155	-0.0100	0.0000	-0.5896	0.0000	0.0385	-0.0072	-0.0480	-4.0178	59.2357	35.6864	0.6076	0.0424	1.2068	0.0000	0.0697	-1.1821	0.0000	-0.0182	0.0000	476.7786	-0.0018	0.0000	-0.0519	0.0000	-0.4793	-0.0052	0.1083	7.2149	0.0000	0.9487	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Idaho	IDCOM	0.1391	0.0531	0.9370	1.4495	0.0000	81.1482	-0.0982	0.0000	-0.1980	0.0000	0.1057	0.0000	-0.0349	-0.1305	5.9007	3.6037	-0.0290	0.1021	1.4606	0.0000	0.0520	-0.1451	0.0000	-0.0222	-9.5432	13.3088	0.0000	0.0000	-0.0020	0.0000	-0.0738	-0.0161	0.1578	13.9837	0.9700	0.0538	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Illinois	ILCOM	0.1890	0.0164	0.6910	1.1640	0.0581	26.3621	-0.0025	-0.0190	-0.0355	0.0000	0.0519	0.0000	0.0143	-0.0026	29.8816	2.8067	0.0450	0.0751	1.1678	-0.0069	0.0293	-0.0252	0.0000	0.0276	0.0000	50.4973	-0.0140	0.0149	0.0029	0.0000	-0.0197	0.0234	0.0803	0.0494	0.0412	0.1891	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Indiana	INCOM	0.0108	0.0215	0.2326	1.3470	1.1835	33.9858	0.0049	0.4883	-0.0014	0.0000	0.0393	0.0000	0.0118	0.0018	41.7903	3.4200	0.1639	0.0839	1.3492	-0.0027	0.0318	-0.0014	0.0000	0.0120	0.0336	59.7281	-0.0114	0.0000	0.0035	0.0000	-0.0336	0.0072	0.0672	0.1683	-0.0193	0.2432	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Iowa	IACOM	0.0005	-0.0143	0.2044	1.2858	0.0714	46.6741	-0.0191	0.0000	0.0408	0.0000	0.0193	0.0000	0.0029	-0.0081	61.4925	7.7748	0.0548	0.0746	1.2869	-0.0001	0.0204	-0.0011	0.0000	0.0028	0.0000	96.5698	-0.0101	0.0010	0.0066	0.0000	-0.1004	0.0022	0.0403	0.0108	-0.0005	0.1239	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Kansas	KSCOM	-0.0602	-0.0313	0.9054	1.5373	2.7422	37.9188	-0.0080	0.0000	-0.0196	0.0000	0.0306	0.0000	0.0059	0.4176	49.5780	6.0477	0.0733	0.0610	1.5420	-0.0032	0.0378	-0.0404	0.0000	0.0003	0.2845	71.3888	-0.0016	-0.8623	-0.0169	0.0000	-0.0581	-0.0003	0.0708	0.5100	-0.0004	0.2188	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Kentucky	KYCOM	0.0472	0.0143	1.6219	1.2735	0.0000	39.9703	-0.0009	0.0000	-0.1361	0.0000	0.0451	0.0000	0.0086	-0.0003	24.5761	3.2026	0.1212	0.0654	1.2760	-0.0087	0.0515	-0.0130	0.0000	0.0118	0.0000	41.7641	-0.0425	-0.0141	-0.0030	0.0000	-0.1492	0.0108	0.0978	0.3279	0.0988	0.3633	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Louisiana	LACOM	0.0032	0.1313	0.9345	1.2169	0.0000	23.4796	0.0086	-0.0324	-0.0008	0.0000	0.1084	0.0000	0.0199	0.0181	31.6262	2.3448	0.1776	0.1234	1.2184	-0.0015	0.0514	-0.0003	0.0000	0.0180	0.0000	63.9944	-0.0095	0.0001	-0.0004	0.0000	-0.0256	0.0199	0.1543	2.8607	0.0003	0.5648	
